County,Registered Voters,# In Person On 10/23/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
TYLER,"14,888",743,"2,097",14.09%,98,"2,195",14.74%,Click Here
COLORADO,"14,775",831,"2,996",20.28%,244,"3,240",21.93%,Click Here
LIMESTONE,"14,443",792,"2,662",18.43%,185,"2,847",19.71%,Click Here
LAVACA,"14,389",707,"2,173",15.1%,361,"2,534",17.61%,Click Here
HOCKLEY,"13,984",663,"2,159",15.44%,146,"2,305",16.48%,Click Here
HOUSTON,"13,901",627,"1,998",14.37%,348,"2,346",16.88%,Click Here
BURLESON,"13,840",784,"2,305",16.65%,252,"2,557",18.48%,Click Here
BOSQUE,"13,638",659,"2,364",17.33%,118,"2,482",18.2%,Click Here
HUTCHINSON,"13,442",704,"2,794",20.79%,154,"2,948",21.93%,Click Here
FREESTONE,"13,406",774,"2,701",20.15%,2,"2,703",20.16%,Click Here
CALHOUN,"13,223",535,"1,942",14.69%,141,"2,083",15.75%,Click Here
GONZALES,"13,174",652,"2,224",16.88%,170,"2,394",18.17%,Click Here
LEON,"12,654",639,"2,089",16.51%,199,"2,288",18.08%,Click Here
ROBERTSON,"12,600",625,"2,277",18.07%,10,"2,287",18.15%,Click Here
EASTLAND,"12,520",594,"2,177",17.39%,255,"2,432",19.42%,Click Here
YOUNG,"12,394",665,"2,707",21.84%,94,"2,801",22.6%,Click Here
GRAY,"12,317",637,"2,118",17.2%,224,"2,342",19.01%,Click Here
TRINITY,"12,283",566,"2,324",18.92%,58,"2,382",19.39%,Click Here
LEE,"12,168",687,"2,227",18.3%,151,"2,378",19.54%,Click Here
WILLACY,"11,703",277,"1,034",8.84%,16,"1,050",8.97%,Click Here
DEWITT,"11,357",549,"2,067",18.2%,236,"2,303",20.28%,Click Here
BLANCO,"11,014",875,"2,986",27.11%,155,"3,141",28.52%,Click Here
JONES,"10,883",393,"1,185",10.89%,173,"1,358",12.48%,Click Here
ANDREWS,"10,739",400,"1,541",14.35%,51,"1,592",14.82%,Click Here
FALLS,"10,562",293,"1,068",10.11%,159,"1,227",11.62%,Click Here
GAINES,"10,467",560,"1,728",16.51%,54,"1,782",17.02%,Click Here
CALLAHAN,"10,439",532,"2,049",19.63%,8,"2,057",19.7%,Click Here
MOORE,"10,130",379,"1,305",12.88%,100,"1,405",13.87%,Click Here
COMANCHE,"10,022",524,"1,871",18.67%,154,"2,025",20.21%,Click Here
JACKSON,"9,894",426,"1,441",14.56%,6,"1,447",14.63%,Click Here
FRIO,"9,526",204,745,7.82%,140,885,9.29%,Click Here
NEWTON,"9,486",367,"1,302",13.73%,51,"1,353",14.26%,Click Here
RAINS,"9,404",527,"1,570",16.7%,120,"1,690",17.97%,Click Here
SCURRY,"9,366",478,"1,699",18.14%,76,"1,775",18.95%,Click Here
MORRIS,"8,948",361,"1,331",14.87%,116,"1,447",16.17%,Click Here
DEAF SMITH,"8,756",313,"1,075",12.28%,101,"1,176",13.43%,Click Here
RED RIVER,"8,746",436,"1,617",18.49%,109,"1,726",19.73%,Click Here
NOLAN,"8,494",315,"1,085",12.77%,63,"1,148",13.52%,Click Here
MADISON,"8,471",359,"1,327",15.67%,88,"1,415",16.7%,Click Here
KARNES,"8,449",322,"1,062",12.57%,198,"1,260",14.91%,Click Here
SABINE,"8,446",486,"1,584",18.75%,145,"1,729",20.47%,Click Here
CAMP,"8,424",420,"1,519",18.03%,142,"1,661",19.72%,Click Here
PECOS,"8,328",306,997,11.97%,67,"1,064",12.78%,Click Here
CLAY,"8,291",394,"1,350",16.28%,113,"1,463",17.65%,Click Here
ZAPATA,"8,182",295,977,11.94%,2,979,11.97%,Click Here
WILBARGER,"8,126",336,"1,227",15.1%,155,"1,382",17.01%,Click Here
DUVAL,"8,031",245,895,11.14%,305,"1,200",14.94%,Click Here
LAMB,"7,883",207,751,9.53%,13,764,9.69%,Click Here
REEVES,"7,838",207,672,8.57%,117,789,10.07%,Click Here
MARION,"7,822",310,"1,287",16.45%,130,"1,417",18.12%,Click Here
ZAVALA,"7,810",154,525,6.72%,54,579,7.41%,Click Here
LIVE OAK,"7,774",373,"1,215",15.63%,87,"1,302",16.75%,Click Here
FRANKLIN,"7,599",371,"1,365",17.96%,94,"1,459",19.2%,Click Here
SOMERVELL,"7,420",434,"1,581",21.31%,60,"1,641",22.12%,Click Here
BREWSTER,"7,408",389,"1,314",17.74%,165,"1,479",19.96%,Click Here
WARD,"7,047",239,888,12.6%,61,949,13.47%,Click Here
ARCHER,"7,008",382,"1,428",20.38%,63,"1,491",21.28%,Click Here
RUNNELS,"6,807",291,897,13.18%,68,965,14.18%,Click Here
DAWSON,"6,776",247,944,13.93%,0,944,13.93%,Click Here
DIMMIT,"6,706",157,569,8.48%,128,697,10.39%,Click Here
TERRY,"6,412",227,874,13.63%,70,944,14.72%,Click Here
HAMILTON,"6,260",386,"1,155",18.45%,80,"1,235",19.73%,Click Here
COLEMAN,"6,139",411,"1,431",23.31%,118,"1,549",25.23%,Click Here
SAN AUGUSTINE,"6,038",260,"1,025",16.98%,86,"1,111",18.4%,Click Here
STEPHENS,"5,881",316,"1,195",20.32%,73,"1,268",21.56%,Click Here
JACK,"5,857",298,"1,130",19.29%,112,"1,242",21.21%,Click Here
GOLIAD,"5,833",282,"1,027",17.61%,101,"1,128",19.34%,Click Here
MCCULLOCH,"5,424",296,987,18.2%,77,"1,064",19.62%,Click Here
OCHILTREE,"5,201",200,796,15.3%,86,882,16.96%,Click Here
BROOKS,"4,945",158,517,10.46%,97,614,12.42%,Click Here
REFUGIO,"4,938",192,726,14.7%,0,726,14.7%,Click Here
PARMER,"4,549",133,392,8.62%,38,430,9.45%,Click Here
MITCHELL,"4,526",184,674,14.89%,40,714,15.78%,Click Here
PRESIDIO,"4,429",117,488,11.02%,32,520,11.74%,Click Here
LYNN,"4,385",134,461,10.51%,30,491,11.2%,Click Here
CARSON,"4,297",189,716,16.66%,40,756,17.59%,Click Here
YOAKUM,"4,289",193,719,16.76%,28,747,17.42%,Click Here
LASALLE,"4,210",135,502,11.92%,175,677,16.08%,Click Here
DELTA,"4,112",173,543,13.21%,0,543,13.21%,Click Here
WINKLER,"4,086",78,332,8.13%,5,337,8.25%,Click Here
SWISHER,"3,900",154,501,12.85%,0,501,12.85%,Click Here
CHILDRESS,"3,804",74,524,13.77%,42,566,14.88%,Click Here
SAN SABA,"3,795",202,761,20.05%,63,824,21.71%,Click Here
CASTRO,"3,694",85,375,10.15%,34,409,11.07%,Click Here
FLOYD,"3,660",149,558,15.25%,56,614,16.78%,Click Here
CROSBY,"3,638",100,330,9.07%,54,384,10.56%,Click Here
MILLS,"3,626",245,870,23.99%,65,935,25.79%,Click Here
JIM HOGG,"3,548",51,197,5.55%,105,302,8.51%,Click Here
MARTIN,"3,497",155,471,13.47%,19,490,14.01%,Click Here
HASKELL,"3,442",171,598,17.37%,29,627,18.22%,Click Here
WHEELER,"3,408",193,707,20.75%,73,780,22.89%,Click Here
KIMBLE,"3,318",196,728,21.94%,57,785,23.66%,Click Here
MASON,"3,278",243,808,24.65%,59,867,26.45%,Click Here
BAILEY,"3,172",96,370,11.66%,47,417,13.15%,Click Here
HANSFORD,"3,002",150,487,16.22%,80,567,18.89%,Click Here
DALLAM,"2,873",81,268,9.33%,62,330,11.49%,Click Here
HARTLEY,"2,846",151,613,21.54%,57,670,23.54%,Click Here
FISHER,"2,705",132,457,16.89%,59,516,19.08%,Click Here
REAL,"2,698",195,760,28.17%,45,805,29.84%,Click Here
CRANE,"2,674",79,316,11.82%,0,316,11.82%,Click Here
GARZA,"2,651",105,388,14.64%,26,414,15.62%,Click Here
COKE,"2,460",121,422,17.15%,0,422,17.15%,Click Here
SHACKELFORD,"2,439",123,442,18.12%,64,506,20.75%,Click Here
BAYLOR,"2,430",155,591,24.32%,1,592,24.36%,Click Here
DONLEY,"2,414",125,529,21.91%,39,568,23.53%,Click Here
HARDEMAN,"2,388",90,343,14.36%,29,372,15.58%,Click Here
SUTTON,"2,348",101,440,18.74%,15,455,19.38%,Click Here
HEMPHILL,"2,347",135,502,21.39%,32,534,22.75%,Click Here
CROCKETT,"2,289",133,417,18.22%,23,440,19.22%,Click Here
KNOX,"2,230",69,199,8.92%,37,236,10.58%,Click Here
HUDSPETH,"2,212",32,127,5.74%,15,142,6.42%,Click Here
KINNEY,"2,175",97,503,23.13%,17,520,23.91%,Click Here
UPTON,"2,114",102,400,18.92%,13,413,19.54%,Click Here
COLLINGSWORTH,"1,887",81,317,16.8%,44,361,19.13%,Click Here
HALL,"1,886",72,276,14.63%,24,300,15.91%,Click Here
LIPSCOMB,"1,818",48,168,9.24%,107,275,15.13%,Click Here
REAGAN,"1,803",76,242,13.42%,5,247,13.7%,Click Here
CONCHO,"1,795",89,270,15.04%,45,315,17.55%,Click Here
SCHLEICHER,"1,732",95,332,19.17%,19,351,20.27%,Click Here
CULBERSON,"1,707",37,124,7.26%,0,124,7.26%,Click Here
COCHRAN,"1,676",60,200,11.93%,45,245,14.62%,Click Here
JEFF DAVIS,"1,574",125,422,26.81%,26,448,28.46%,Click Here
MENARD,"1,516",59,270,17.81%,43,313,20.65%,Click Here
EDWARDS,"1,496",66,257,17.18%,13,270,18.05%,Click Here
SHERMAN,"1,448",44,239,16.51%,21,260,17.96%,Click Here
DICKENS,"1,433",47,213,14.86%,0,213,14.86%,Click Here
ARMSTRONG,"1,429",89,308,21.55%,22,330,23.09%,Click Here
OLDHAM,"1,340",74,200,14.93%,22,222,16.57%,Click Here
IRION,"1,230",65,210,17.07%,11,221,17.97%,Click Here
THROCKMORTON,"1,217",56,198,16.27%,12,210,17.26%,Click Here
BRISCOE,"1,037",38,146,14.08%,41,187,18.03%,Click Here
COTTLE,994,44,191,19.22%,13,204,20.52%,Click Here
STONEWALL,955,53,163,17.07%,10,173,18.12%,Click Here
STERLING,892,44,156,17.49%,10,166,18.61%,Click Here
MOTLEY,849,43,152,17.9%,31,183,21.55%,Click Here
GLASSCOCK,840,40,141,16.79%,22,163,19.4%,Click Here
FOARD,806,54,172,21.34%,2,174,21.59%,Click Here
ROBERTS,722,32,150,20.78%,17,167,23.13%,Click Here
MCMULLEN,644,40,131,20.34%,0,131,20.34%,Click Here
TERRELL,626,24,115,18.37%,12,127,20.29%,Click Here
KENT,599,29,98,16.36%,11,109,18.2%,Click Here
BORDEN,487,20,103,21.15%,0,103,21.15%,Click Here
KENEDY,270,8,39,14.44%,4,43,15.93%,Click Here
KING,165,10,34,20.61%,1,35,21.21%,Click Here
LOVING,128,4,19,14.84%,1,20,15.63%,Click Here
TOTAL,"18,623,931","833,360","2,630,358",14.12%,"219,818","2,850,176",15.3%,
