County,Registered Voters,# In Person On 10/30/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
VAN ZANDT,"41,749","1,494","12,740",30.52%,457,"13,197",31.61%,Click Here
KERR,"40,065","1,298","20,018",49.96%,"1,265","21,283",53.12%,Click Here
NACOGDOCHES,"40,051","1,042","15,507",38.72%,945,"16,452",41.08%,Click Here
BURNET,"39,186","1,137","18,821",48.03%,"1,354","20,175",51.49%,Click Here
WILSON,"39,092","1,197","18,531",47.4%,828,"19,359",49.52%,Click Here
KENDALL,"38,959","1,531","21,149",54.29%,"1,189","22,338",57.34%,Click Here
WALKER,"38,958","1,286","16,720",42.92%,560,"17,280",44.36%,Click Here
MEDINA,"38,525","1,102","17,068",44.3%,580,"17,648",45.81%,Click Here
CHAMBERS,"37,026","1,110","17,583",47.49%,221,"17,804",48.09%,Click Here
STARR,"36,420","1,018","9,887",27.15%,161,"10,048",27.59%,Click Here
MAVERICK,"35,947",884,"8,860",24.65%,202,"9,062",25.21%,Click Here
WOOD,"35,589","1,445","15,609",43.86%,825,"16,434",46.18%,Click Here
RUSK,"34,277","1,038","13,150",38.36%,647,"13,797",40.25%,Click Here
LAMAR,"33,110",901,"13,312",40.21%,665,"13,977",42.21%,Click Here
NAVARRO,"32,955",816,"11,360",34.47%,334,"11,694",35.48%,Click Here
ATASCOSA,"32,142",850,"11,275",35.08%,352,"11,627",36.17%,Click Here
CHEROKEE,"32,121",889,"13,322",41.47%,422,"13,744",42.79%,Click Here
ANDERSON,"30,613","1,008","11,667",38.11%,479,"12,146",39.68%,Click Here
UPSHUR,"30,374",818,"12,493",41.13%,511,"13,004",42.81%,Click Here
COOKE,"30,193",930,"11,851",39.25%,546,"12,397",41.06%,Click Here
VAL VERDE,"30,117",538,"8,418",27.95%,657,"9,075",30.13%,Click Here
CALDWELL,"27,097",724,"10,133",37.4%,362,"10,495",38.73%,Click Here
HILL,"26,962",750,"10,204",37.85%,253,"10,457",38.78%,Click Here
WHARTON,"26,422",711,"11,308",42.8%,400,"11,708",44.31%,Click Here
JIM WELLS,"26,414",610,"7,477",28.31%,273,"7,750",29.34%,Click Here
ERATH,"25,961",841,"11,340",43.68%,332,"11,672",44.96%,Click Here
WASHINGTON,"25,794",860,"12,411",48.12%,36,"12,447",48.26%,Click Here
BROWN,"25,500",950,"9,669",37.92%,563,"10,232",40.13%,Click Here
HOPKINS,"25,383",781,"10,554",41.58%,382,"10,936",43.08%,Click Here
FANNIN,"24,942",767,"9,838",39.44%,535,"10,373",41.59%,Click Here
JASPER,"24,496",603,"10,500",42.86%,300,"10,800",44.09%,Click Here
MATAGORDA,"22,394",634,"8,648",38.62%,354,"9,002",40.2%,Click Here
AUSTIN,"22,116",666,"9,990",45.17%,407,"10,397",47.01%,Click Here
GILLESPIE,"21,884",954,"10,645",48.64%,789,"11,434",52.25%,Click Here
CASS,"21,812",625,"9,142",41.91%,515,"9,657",44.27%,Click Here
GRIMES,"21,080",651,"8,418",39.93%,424,"8,842",41.94%,Click Here
SAN JACINTO,"20,406",693,"7,766",38.06%,312,"8,078",39.59%,Click Here
PALO PINTO,"20,351",11,"6,837",33.6%,401,"7,238",35.57%,Click Here
ARANSAS,"19,849",604,"9,116",45.93%,357,"9,473",47.73%,Click Here
BANDERA,"19,026",773,"9,680",50.88%,346,"10,026",52.7%,Click Here
KLEBERG,"18,689",428,"6,120",32.75%,300,"6,420",34.35%,Click Here
LLANO,"18,455",547,"9,979",54.07%,687,"10,666",57.79%,Click Here
FAYETTE,"18,353",611,"7,490",40.81%,485,"7,975",43.45%,Click Here
HALE,"18,272",444,"5,635",30.84%,192,"5,827",31.89%,Click Here
TITUS,"18,026",183,"3,031",16.81%,122,"3,153",17.49%,Click Here
UVALDE,"17,929",374,"5,682",31.69%,305,"5,987",33.39%,Click Here
PANOLA,"17,836",497,"6,280",35.21%,300,"6,580",36.89%,Click Here
MILAM,"17,208",569,"7,576",44.03%,299,"7,875",45.76%,Click Here
HOWARD,"17,198",417,"6,332",36.82%,337,"6,669",38.78%,Click Here
LAMPASAS,"16,913",536,"7,799",46.11%,359,"8,158",48.24%,Click Here
SHELBY,"16,355",344,"5,476",33.48%,276,"5,752",35.17%,Click Here
BEE,"15,979",349,"5,259",32.91%,332,"5,591",34.99%,Click Here
MONTAGUE,"15,649",459,"7,654",48.91%,222,"7,876",50.33%,Click Here
TYLER,"14,888",324,"5,425",36.44%,227,"5,652",37.96%,Click Here
COLORADO,"14,775",398,"6,438",43.57%,318,"6,756",45.73%,Click Here
LIMESTONE,"14,443",319,"5,746",39.78%,239,"5,985",41.44%,Click Here
LAVACA,"14,389",525,"6,189",43.01%,503,"6,692",46.51%,Click Here
HOCKLEY,"13,984",363,"4,839",34.6%,202,"5,041",36.05%,Click Here
HOUSTON,"13,901",379,"5,208",37.46%,400,"5,608",40.34%,Click Here
BURLESON,"13,840",443,"6,053",43.74%,312,"6,365",45.99%,Click Here
BOSQUE,"13,638",415,"5,523",40.5%,210,"5,733",42.04%,Click Here
HUTCHINSON,"13,442",350,"5,401",40.18%,190,"5,591",41.59%,Click Here
FREESTONE,"13,406",403,"5,805",43.3%,2,"5,807",43.32%,Click Here
CALHOUN,"13,223",337,"4,519",34.18%,183,"4,702",35.56%,Click Here
GONZALES,"13,174",372,"5,002",37.97%,235,"5,237",39.75%,Click Here
LEON,"12,654",392,"5,148",40.68%,245,"5,393",42.62%,Click Here
ROBERTSON,"12,600",406,"5,296",42.03%,11,"5,307",42.12%,Click Here
EASTLAND,"12,520",366,"5,147",41.11%,342,"5,489",43.84%,Click Here
YOUNG,"12,394",370,"5,805",46.84%,156,"5,961",48.1%,Click Here
GRAY,"12,317",228,"4,732",38.42%,342,"5,074",41.2%,Click Here
TRINITY,"12,283",335,"4,981",40.55%,125,"5,106",41.57%,Click Here
LEE,"12,168",399,"5,315",43.68%,220,"5,535",45.49%,Click Here
WILLACY,"11,703",217,"2,721",23.25%,62,"2,783",23.78%,Click Here
DEWITT,"11,357",310,"4,716",41.53%,293,"5,009",44.1%,Click Here
BLANCO,"11,014",399,"6,276",56.98%,224,"6,500",59.02%,Click Here
JONES,"10,883",229,"3,272",30.07%,218,"3,490",32.07%,Click Here
ANDREWS,"10,739",340,"4,035",37.57%,69,"4,104",38.22%,Click Here
FALLS,"10,562",274,"2,851",26.99%,190,"3,041",28.79%,Click Here
GAINES,"10,467",294,"4,319",41.26%,66,"4,385",41.89%,Click Here
CALLAHAN,"10,439",305,"4,535",43.44%,40,"4,575",43.83%,Click Here
MOORE,"10,130",186,"2,997",29.59%,133,"3,130",30.9%,Click Here
COMANCHE,"10,022",288,"4,096",40.87%,192,"4,288",42.79%,Click Here
JACKSON,"9,894",279,"4,060",41.03%,12,"4,072",41.16%,Click Here
FRIO,"9,526",150,"2,277",23.9%,233,"2,510",26.35%,Click Here
NEWTON,"9,486",212,"3,042",32.07%,95,"3,137",33.07%,Click Here
RAINS,"9,404",320,"4,290",45.62%,165,"4,455",47.37%,Click Here
SCURRY,"9,366",206,"3,588",38.31%,98,"3,686",39.36%,Click Here
MORRIS,"8,948",228,"3,071",34.32%,152,"3,223",36.02%,Click Here
DEAF SMITH,"8,756",241,"2,511",28.68%,143,"2,654",30.31%,Click Here
RED RIVER,"8,746",219,"3,518",40.22%,163,"3,681",42.09%,Click Here
NOLAN,"8,494",241,"2,614",30.77%,100,"2,714",31.95%,Click Here
MADISON,"8,471",273,"3,520",41.55%,118,"3,638",42.95%,Click Here
KARNES,"8,449",193,"2,586",30.61%,237,"2,823",33.41%,Click Here
SABINE,"8,446",177,"3,540",41.91%,200,"3,740",44.28%,Click Here
CAMP,"8,424",253,"3,451",40.97%,182,"3,633",43.13%,Click Here
PECOS,"8,328",231,"2,488",29.88%,103,"2,591",31.11%,Click Here
CLAY,"8,291",218,"3,165",38.17%,145,"3,310",39.92%,Click Here
ZAPATA,"8,182",219,"2,650",32.39%,51,"2,701",33.01%,Click Here
WILBARGER,"8,126",190,"2,832",34.85%,193,"3,025",37.23%,Click Here
DUVAL,"8,031",133,"2,506",31.2%,447,"2,953",36.77%,Click Here
LAMB,"7,883",168,"1,815",23.02%,124,"1,939",24.6%,Click Here
REEVES,"7,838",175,"1,864",23.78%,149,"2,013",25.68%,Click Here
MARION,"7,822",208,"2,748",35.13%,189,"2,937",37.55%,Click Here
ZAVALA,"7,810",151,"1,630",20.87%,73,"1,703",21.81%,Click Here
LIVE OAK,"7,774",189,"2,949",37.93%,113,"3,062",39.39%,Click Here
FRANKLIN,"7,599",253,"3,315",43.62%,121,"3,436",45.22%,Click Here
SOMERVELL,"7,420",247,"3,632",48.95%,87,"3,719",50.12%,Click Here
BREWSTER,"7,408",167,"2,678",36.15%,202,"2,880",38.88%,Click Here
WARD,"7,047",182,"2,074",29.43%,89,"2,163",30.69%,Click Here
ARCHER,"7,008",233,"3,261",46.53%,81,"3,342",47.69%,Click Here
RUNNELS,"6,807",157,"2,086",30.64%,98,"2,184",32.08%,Click Here
DAWSON,"6,776",124,"2,139",31.57%,0,"2,139",31.57%,Click Here
DIMMIT,"6,706",132,"1,721",25.66%,171,"1,892",28.21%,Click Here
TERRY,"6,412",159,"2,120",33.06%,87,"2,207",34.42%,Click Here
HAMILTON,"6,260",191,"2,749",43.91%,106,"2,855",45.61%,Click Here
COLEMAN,"6,139",139,"3,008",49.0%,151,"3,159",51.46%,Click Here
SAN AUGUSTINE,"6,038",163,"2,208",36.57%,108,"2,316",38.36%,Click Here
STEPHENS,"5,881",139,"2,456",41.76%,108,"2,564",43.6%,Click Here
JACK,"5,857",184,"2,703",46.15%,145,"2,848",48.63%,Click Here
GOLIAD,"5,833",186,"2,334",40.01%,122,"2,456",42.11%,Click Here
MCCULLOCH,"5,424",151,"2,211",40.76%,98,"2,309",42.57%,Click Here
OCHILTREE,"5,201",126,"1,840",35.38%,108,"1,948",37.45%,Click Here
BROOKS,"4,945",102,"1,263",25.54%,126,"1,389",28.09%,Click Here
REFUGIO,"4,938",114,"1,752",35.48%,63,"1,815",36.76%,Click Here
PARMER,"4,549",75,971,21.35%,53,"1,024",22.51%,Click Here
MITCHELL,"4,526",96,"1,511",33.38%,50,"1,561",34.49%,Click Here
PRESIDIO,"4,429",101,"1,148",25.92%,44,"1,192",26.91%,Click Here
LYNN,"4,385",130,"1,292",29.46%,37,"1,329",30.31%,Click Here
CARSON,"4,297",130,"1,746",40.63%,51,"1,797",41.82%,Click Here
YOAKUM,"4,289",95,"1,547",36.07%,39,"1,586",36.98%,Click Here
LASALLE,"4,210",86,"1,223",29.05%,188,"1,411",33.52%,Click Here
DELTA,"4,112",120,"1,444",35.12%,0,"1,444",35.12%,Click Here
WINKLER,"4,086",87,895,21.9%,9,904,22.12%,Click Here
SWISHER,"3,900",95,"1,212",31.08%,0,"1,212",31.08%,Click Here
CHILDRESS,"3,804",89,"1,347",35.41%,60,"1,407",36.99%,Click Here
SAN SABA,"3,795",105,"1,657",43.66%,79,"1,736",45.74%,Click Here
CASTRO,"3,694",103,941,25.47%,40,981,26.56%,Click Here
FLOYD,"3,660",106,"1,301",35.55%,67,"1,368",37.38%,Click Here
CROSBY,"3,638",90,871,23.94%,71,942,25.89%,Click Here
MILLS,"3,626",84,"1,843",50.83%,72,"1,915",52.81%,Click Here
JIM HOGG,"3,548",65,605,17.05%,185,790,22.27%,Click Here
MARTIN,"3,497",103,"1,236",35.34%,25,"1,261",36.06%,Click Here
HASKELL,"3,442",87,"1,342",38.99%,43,"1,385",40.24%,Click Here
WHEELER,"3,408",115,"1,450",42.55%,90,"1,540",45.19%,Click Here
KIMBLE,"3,318",98,"1,587",47.83%,66,"1,653",49.82%,Click Here
MASON,"3,278",120,"1,802",54.97%,86,"1,888",57.6%,Click Here
BAILEY,"3,172",111,932,29.38%,69,"1,001",31.56%,Click Here
HANSFORD,"3,002",104,"1,142",38.04%,94,"1,236",41.17%,Click Here
DALLAM,"2,873",71,719,25.03%,74,793,27.6%,Click Here
HARTLEY,"2,846",71,"1,233",43.32%,73,"1,306",45.89%,Click Here
FISHER,"2,705",86,"1,052",38.89%,74,"1,126",41.63%,Click Here
REAL,"2,698",72,"1,286",47.66%,58,"1,344",49.81%,Click Here
CRANE,"2,674",60,811,30.33%,0,811,30.33%,Click Here
GARZA,"2,651",56,936,35.31%,42,978,36.89%,Click Here
COKE,"2,460",96,"1,005",40.85%,0,"1,005",40.85%,Click Here
SHACKELFORD,"2,439",66,"1,014",41.57%,85,"1,099",45.06%,Click Here
BAYLOR,"2,430",48,"1,228",50.53%,1,"1,229",50.58%,Click Here
DONLEY,"2,414",88,"1,032",42.75%,59,"1,091",45.19%,Click Here
HARDEMAN,"2,388",75,721,30.19%,33,754,31.57%,Click Here
SUTTON,"2,348",58,926,39.44%,21,947,40.33%,Click Here
HEMPHILL,"2,347",57,"1,022",43.54%,40,"1,062",45.25%,Click Here
CROCKETT,"2,289",79,879,38.4%,38,917,40.06%,Click Here
KNOX,"2,230",38,502,22.51%,44,546,24.48%,Click Here
HUDSPETH,"2,212",17,273,12.34%,22,295,13.34%,Click Here
KINNEY,"2,175",53,943,43.36%,22,965,44.37%,Click Here
UPTON,"2,114",59,872,41.25%,15,887,41.96%,Click Here
COLLINGSWORTH,"1,887",65,663,35.14%,55,718,38.05%,Click Here
HALL,"1,886",37,607,32.18%,35,642,34.04%,Click Here
LIPSCOMB,"1,818",28,452,24.86%,123,575,31.63%,Click Here
REAGAN,"1,803",48,554,30.73%,7,561,31.11%,Click Here
CONCHO,"1,795",48,601,33.48%,58,659,36.71%,Click Here
SCHLEICHER,"1,732",43,712,41.11%,44,756,43.65%,Click Here
CULBERSON,"1,707",29,354,20.74%,2,356,20.86%,Click Here
COCHRAN,"1,676",27,411,24.52%,54,465,27.74%,Click Here
JEFF DAVIS,"1,574",48,772,49.05%,41,813,51.65%,Click Here
MENARD,"1,516",57,656,43.27%,49,705,46.5%,Click Here
EDWARDS,"1,496",38,612,40.91%,26,638,42.65%,Click Here
SHERMAN,"1,448",32,534,36.88%,30,564,38.95%,Click Here
DICKENS,"1,433",33,517,36.08%,0,517,36.08%,Click Here
ARMSTRONG,"1,429",52,735,51.43%,50,785,54.93%,Click Here
OLDHAM,"1,340",45,502,37.46%,30,532,39.7%,Click Here
IRION,"1,230",55,592,48.13%,15,607,49.35%,Click Here
THROCKMORTON,"1,217",36,477,39.19%,17,494,40.59%,Click Here
BRISCOE,"1,037",47,380,36.64%,45,425,40.98%,Click Here
COTTLE,994,29,452,45.47%,20,472,47.48%,Click Here
STONEWALL,955,32,425,44.5%,18,443,46.39%,Click Here
STERLING,892,36,389,43.61%,26,415,46.52%,Click Here
MOTLEY,849,20,350,41.22%,43,393,46.29%,Click Here
GLASSCOCK,840,36,393,46.79%,30,423,50.36%,Click Here
FOARD,806,39,373,46.28%,4,377,46.77%,Click Here
ROBERTS,722,21,310,42.94%,19,329,45.57%,Click Here
MCMULLEN,644,19,309,47.98%,0,309,47.98%,Click Here
TERRELL,626,23,260,41.53%,19,279,44.57%,Click Here
KENT,599,24,233,38.9%,13,246,41.07%,Click Here
BORDEN,487,26,264,54.21%,0,264,54.21%,Click Here
KENEDY,270,7,92,34.07%,6,98,36.3%,Click Here
KING,165,9,87,52.73%,1,88,53.33%,Click Here
LOVING,128,3,60,46.88%,1,61,47.66%,Click Here
TOTAL,"18,623,931","623,302","7,239,983",38.87%,"312,488","7,552,471",40.55%,
