County,Registered Voters,# In Person On 10/22/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
JACK,"5,857",394,832,14.21%,98,930,15.88%,Click Here
GOLIAD,"5,833",336,745,12.77%,93,838,14.37%,Click Here
MCCULLOCH,"5,424",346,691,12.74%,68,759,13.99%,Click Here
OCHILTREE,"5,201",273,596,11.46%,79,675,12.98%,Click Here
BROOKS,"4,945",168,359,7.26%,89,448,9.06%,Click Here
REFUGIO,"4,938",241,534,10.81%,0,534,10.81%,Click Here
PARMER,"4,549",114,259,5.69%,33,292,6.42%,Click Here
MITCHELL,"4,526",234,490,10.83%,33,523,11.56%,Click Here
PRESIDIO,"4,429",141,371,8.38%,27,398,8.99%,Click Here
LYNN,"4,385",145,327,7.46%,25,352,8.03%,Click Here
CARSON,"4,297",233,527,12.26%,37,564,13.13%,Click Here
YOAKUM,"4,289",247,526,12.26%,28,554,12.92%,Click Here
LASALLE,"4,210",125,367,8.72%,172,539,12.8%,Click Here
DELTA,"4,112",160,370,9.0%,0,370,9.0%,Click Here
WINKLER,"4,086",96,254,6.22%,4,258,6.31%,Click Here
SWISHER,"3,900",152,347,8.9%,0,347,8.9%,Click Here
CHILDRESS,"3,804",221,450,11.83%,42,492,12.93%,Click Here
SAN SABA,"3,795",274,559,14.73%,58,617,16.26%,Click Here
CASTRO,"3,694",126,290,7.85%,31,321,8.69%,Click Here
FLOYD,"3,660",162,409,11.17%,48,457,12.49%,Click Here
CROSBY,"3,638",90,230,6.32%,49,279,7.67%,Click Here
MILLS,"3,626",304,625,17.24%,60,685,18.89%,Click Here
JIM HOGG,"3,548",56,146,4.11%,82,228,6.43%,Click Here
MARTIN,"3,497",162,316,9.04%,16,332,9.49%,Click Here
HASKELL,"3,442",205,427,12.41%,25,452,13.13%,Click Here
WHEELER,"3,408",217,514,15.08%,69,583,17.11%,Click Here
KIMBLE,"3,318",250,532,16.03%,53,585,17.63%,Click Here
MASON,"3,278",285,565,17.24%,59,624,19.04%,Click Here
BAILEY,"3,172",137,274,8.64%,39,313,9.87%,Click Here
HANSFORD,"3,002",157,337,11.23%,58,395,13.16%,Click Here
DALLAM,"2,873",76,187,6.51%,61,248,8.63%,Click Here
HARTLEY,"2,846",223,462,16.23%,57,519,18.24%,Click Here
FISHER,"2,705",124,325,12.01%,53,378,13.97%,Click Here
REAL,"2,698",237,565,20.94%,45,610,22.61%,Click Here
CRANE,"2,674",105,237,8.86%,0,237,8.86%,Click Here
GARZA,"2,651",132,283,10.68%,25,308,11.62%,Click Here
COKE,"2,460",146,301,12.24%,0,301,12.24%,Click Here
SHACKELFORD,"2,439",136,319,13.08%,64,383,15.7%,Click Here
BAYLOR,"2,430",208,436,17.94%,1,437,17.98%,Click Here
DONLEY,"2,414",174,404,16.74%,39,443,18.35%,Click Here
HARDEMAN,"2,388",140,253,10.59%,23,276,11.56%,Click Here
SUTTON,"2,348",135,339,14.44%,12,351,14.95%,Click Here
HEMPHILL,"2,347",161,367,15.64%,30,397,16.92%,Click Here
CROCKETT,"2,289",146,284,12.41%,23,307,13.41%,Click Here
KNOX,"2,230",62,130,5.83%,22,152,6.82%,Click Here
HUDSPETH,"2,212",42,95,4.29%,15,110,4.97%,Click Here
KINNEY,"2,175",143,406,18.67%,10,416,19.13%,Click Here
UPTON,"2,114",103,298,14.1%,13,311,14.71%,Click Here
COLLINGSWORTH,"1,887",102,236,12.51%,44,280,14.84%,Click Here
HALL,"1,886",89,204,10.82%,24,228,12.09%,Click Here
LIPSCOMB,"1,818",44,120,6.6%,104,224,12.32%,Click Here
REAGAN,"1,803",64,166,9.21%,5,171,9.48%,Click Here
CONCHO,"1,795",89,181,10.08%,45,226,12.59%,Click Here
SCHLEICHER,"1,732",104,237,13.68%,16,253,14.61%,Click Here
CULBERSON,"1,707",46,87,5.1%,0,87,5.1%,Click Here
COCHRAN,"1,676",72,140,8.35%,43,183,10.92%,Click Here
JEFF DAVIS,"1,574",118,297,18.87%,24,321,20.39%,Click Here
MENARD,"1,516",84,211,13.92%,35,246,16.23%,Click Here
EDWARDS,"1,496",94,191,12.77%,13,204,13.64%,Click Here
SHERMAN,"1,448",74,195,13.47%,21,216,14.92%,Click Here
DICKENS,"1,433",78,166,11.58%,0,166,11.58%,Click Here
ARMSTRONG,"1,429",99,219,15.33%,22,241,16.86%,Click Here
OLDHAM,"1,340",52,126,9.4%,21,147,10.97%,Click Here
IRION,"1,230",66,145,11.79%,8,153,12.44%,Click Here
THROCKMORTON,"1,217",59,142,11.67%,10,152,12.49%,Click Here
BRISCOE,"1,037",42,108,10.41%,38,146,14.08%,Click Here
COTTLE,994,78,147,14.79%,13,160,16.1%,Click Here
STONEWALL,955,38,110,11.52%,4,114,11.94%,Click Here
STERLING,892,57,112,12.56%,10,122,13.68%,Click Here
MOTLEY,849,55,109,12.84%,30,139,16.37%,Click Here
GLASSCOCK,840,41,101,12.02%,19,120,14.29%,Click Here
FOARD,806,73,118,14.64%,2,120,14.89%,Click Here
ROBERTS,722,54,118,16.34%,17,135,18.7%,Click Here
MCMULLEN,644,28,91,14.13%,0,91,14.13%,Click Here
TERRELL,626,37,91,14.54%,12,103,16.45%,Click Here
KENT,599,27,69,11.52%,0,69,11.52%,Click Here
BORDEN,487,43,83,17.04%,0,83,17.04%,Click Here
KENEDY,270,10,31,11.48%,2,33,12.22%,Click Here
KING,165,12,24,14.55%,1,25,15.15%,Click Here
LOVING,128,10,15,11.72%,1,16,12.5%,Click Here
TOTAL,"18,623,931","869,476","1,796,998",9.65%,"199,045","1,996,043",10.72%,
