County,Registered Voters,# In Person On 10/21/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
GILLESPIE,"21,884","1,309","1,309",5.98%,548,"1,857",8.49%,Click Here
CASS,"21,812","1,520","1,520",6.97%,408,"1,928",8.84%,Click Here
GRIMES,"21,080","1,214","1,214",5.76%,246,"1,460",6.93%,Click Here
SAN JACINTO,"20,406",638,638,3.13%,106,744,3.65%,Click Here
PALO PINTO,"20,351","1,332","1,332",6.55%,304,"1,636",8.04%,Click Here
ARANSAS,"19,849","1,239","1,239",6.24%,357,"1,596",8.04%,Click Here
BANDERA,"19,026","1,387","1,387",7.29%,210,"1,597",8.39%,Click Here
KLEBERG,"18,689","1,047","1,047",5.6%,147,"1,194",6.39%,Click Here
LLANO,"18,455","1,794","1,794",9.72%,530,"2,324",12.59%,Click Here
FAYETTE,"18,353",942,942,5.13%,347,"1,289",7.02%,Click Here
HALE,"18,272",914,914,5.0%,119,"1,033",5.65%,Click Here
TITUS,"18,026",469,469,2.6%,25,494,2.74%,Click Here
UVALDE,"17,929",911,911,5.08%,208,"1,119",6.24%,Click Here
PANOLA,"17,836","1,017","1,017",5.7%,227,"1,244",6.97%,Click Here
MILAM,"17,208","1,298","1,298",7.54%,200,"1,498",8.71%,Click Here
HOWARD,"17,198",985,985,5.73%,279,"1,264",7.35%,Click Here
LAMPASAS,"16,913","1,301","1,301",7.69%,226,"1,527",9.03%,Click Here
SHELBY,"16,355",842,842,5.15%,154,996,6.09%,Click Here
BEE,"15,979",971,971,6.08%,257,"1,228",7.69%,Click Here
MONTAGUE,"15,649","1,393","1,393",8.9%,151,"1,544",9.87%,Click Here
TYLER,"14,888",615,615,4.13%,48,663,4.45%,Click Here
COLORADO,"14,775","1,140","1,140",7.72%,227,"1,367",9.25%,Click Here
LIMESTONE,"14,443","1,021","1,021",7.07%,165,"1,186",8.21%,Click Here
LAVACA,"14,389",704,704,4.89%,225,929,6.46%,Click Here
HOCKLEY,"13,984",812,812,5.81%,120,932,6.66%,Click Here
HOUSTON,"13,901",684,684,4.92%,301,985,7.09%,Click Here
BURLESON,"13,840",697,697,5.04%,236,933,6.74%,Click Here
BOSQUE,"13,638",957,957,7.02%,109,"1,066",7.82%,Click Here
HUTCHINSON,"13,442","1,125","1,125",8.37%,128,"1,253",9.32%,Click Here
FREESTONE,"13,406","1,022","1,022",7.62%,2,"1,024",7.64%,Click Here
CALHOUN,"13,223",758,758,5.73%,131,889,6.72%,Click Here
GONZALES,"13,174",847,847,6.43%,162,"1,009",7.66%,Click Here
LEON,"12,654",729,729,5.76%,185,914,7.22%,Click Here
ROBERTSON,"12,600",895,895,7.1%,10,905,7.18%,Click Here
EASTLAND,"12,520",829,829,6.62%,220,"1,049",8.38%,Click Here
YOUNG,"12,394","1,131","1,131",9.13%,6,"1,137",9.17%,Click Here
GRAY,"12,317",801,801,6.5%,210,"1,011",8.21%,Click Here
TRINITY,"12,283",958,970,7.9%,58,"1,028",8.37%,Click Here
LEE,"12,168",835,835,6.86%,130,965,7.93%,Click Here
WILLACY,"11,703",420,420,3.59%,3,423,3.61%,Click Here
DEWITT,"11,357",827,827,7.28%,220,"1,047",9.22%,Click Here
BLANCO,"11,014","1,136","1,136",10.31%,87,"1,223",11.1%,Click Here
JONES,"10,883",451,451,4.14%,152,603,5.54%,Click Here
ANDREWS,"10,739",645,645,6.01%,48,693,6.45%,Click Here
FALLS,"10,562",398,398,3.77%,0,398,3.77%,Click Here
GAINES,"10,467",583,583,5.57%,43,626,5.98%,Click Here
CALLAHAN,"10,439",844,844,8.09%,7,851,8.15%,Click Here
MOORE,"10,130",499,499,4.93%,82,581,5.74%,Click Here
COMANCHE,"10,022",727,727,7.25%,139,866,8.64%,Click Here
JACKSON,"9,894",479,479,4.84%,5,484,4.89%,Click Here
FRIO,"9,526",327,327,3.43%,105,432,4.53%,Click Here
NEWTON,"9,486",512,512,5.4%,42,554,5.84%,Click Here
RAINS,"9,404",494,494,5.25%,104,598,6.36%,Click Here
SCURRY,"9,366",667,667,7.12%,67,734,7.84%,Click Here
MORRIS,"8,948",530,530,5.92%,100,630,7.04%,Click Here
DEAF SMITH,"8,756",448,448,5.12%,93,541,6.18%,Click Here
RED RIVER,"8,746",693,693,7.92%,101,794,9.08%,Click Here
NOLAN,"8,494",389,389,4.58%,53,442,5.2%,Click Here
MADISON,"8,471",502,502,5.93%,76,578,6.82%,Click Here
KARNES,"8,449",392,392,4.64%,172,564,6.68%,Click Here
SABINE,"8,446",574,574,6.8%,142,716,8.48%,Click Here
CAMP,"8,424",627,627,7.44%,125,752,8.93%,Click Here
PECOS,"8,328",383,383,4.6%,44,427,5.13%,Click Here
CLAY,"8,291",521,521,6.28%,100,621,7.49%,Click Here
ZAPATA,"8,182",390,390,4.77%,1,391,4.78%,Click Here
WILBARGER,"8,126",480,480,5.91%,138,618,7.61%,Click Here
DUVAL,"8,031",346,346,4.31%,233,579,7.21%,Click Here
LAMB,"7,883",284,284,3.6%,2,286,3.63%,Click Here
REEVES,"7,838",248,248,3.16%,98,346,4.41%,Click Here
MARION,"7,822",550,550,7.03%,106,656,8.39%,Click Here
ZAVALA,"7,810",189,189,2.42%,41,230,2.94%,Click Here
LIVE OAK,"7,774",435,435,5.6%,73,508,6.53%,Click Here
FRANKLIN,"7,599",535,535,7.04%,84,619,8.15%,Click Here
SOMERVELL,"7,420",605,605,8.15%,41,646,8.71%,Click Here
BREWSTER,"7,408",498,498,6.72%,149,647,8.73%,Click Here
WARD,"7,047",355,355,5.04%,53,408,5.79%,Click Here
ARCHER,"7,008",579,579,8.26%,45,624,8.9%,Click Here
RUNNELS,"6,807",298,298,4.38%,54,352,5.17%,Click Here
DAWSON,"6,776",371,371,5.48%,0,371,5.48%,Click Here
DIMMIT,"6,706",212,212,3.16%,114,326,4.86%,Click Here
TERRY,"6,412",372,372,5.8%,69,441,6.88%,Click Here
HAMILTON,"6,260",402,402,6.42%,61,463,7.4%,Click Here
COLEMAN,"6,139",561,561,9.14%,102,663,10.8%,Click Here
SAN AUGUSTINE,"6,038",396,396,6.56%,83,479,7.93%,Click Here
STEPHENS,"5,881",462,462,7.86%,68,530,9.01%,Click Here
JACK,"5,857",438,438,7.48%,97,535,9.13%,Click Here
GOLIAD,"5,833",409,409,7.01%,86,495,8.49%,Click Here
MCCULLOCH,"5,424",345,345,6.36%,61,406,7.49%,Click Here
OCHILTREE,"5,201",323,323,6.21%,76,399,7.67%,Click Here
BROOKS,"4,945",191,191,3.86%,84,275,5.56%,Click Here
REFUGIO,"4,938",293,293,5.93%,0,293,5.93%,Click Here
PARMER,"4,549",145,145,3.19%,28,173,3.8%,Click Here
MITCHELL,"4,526",256,256,5.66%,30,286,6.32%,Click Here
PRESIDIO,"4,429",230,230,5.19%,20,250,5.64%,Click Here
LYNN,"4,385",182,182,4.15%,21,203,4.63%,Click Here
CARSON,"4,297",294,294,6.84%,37,331,7.7%,Click Here
YOAKUM,"4,289",279,279,6.51%,26,305,7.11%,Click Here
LASALLE,"4,210",242,242,5.75%,171,413,9.81%,Click Here
DELTA,"4,112",210,210,5.11%,0,210,5.11%,Click Here
WINKLER,"4,086",158,158,3.87%,3,161,3.94%,Click Here
SWISHER,"3,900",195,195,5.0%,0,195,5.0%,Click Here
CHILDRESS,"3,804",229,229,6.02%,31,260,6.83%,Click Here
SAN SABA,"3,795",285,285,7.51%,54,339,8.93%,Click Here
CASTRO,"3,694",164,164,4.44%,28,192,5.2%,Click Here
FLOYD,"3,660",247,247,6.75%,47,294,8.03%,Click Here
CROSBY,"3,638",140,140,3.85%,47,187,5.14%,Click Here
MILLS,"3,626",321,321,8.85%,58,379,10.45%,Click Here
JIM HOGG,"3,548",90,90,2.54%,81,171,4.82%,Click Here
MARTIN,"3,497",154,154,4.4%,15,169,4.83%,Click Here
HASKELL,"3,442",222,222,6.45%,24,246,7.15%,Click Here
WHEELER,"3,408",297,297,8.71%,69,366,10.74%,Click Here
KIMBLE,"3,318",282,282,8.5%,48,330,9.95%,Click Here
MASON,"3,278",280,280,8.54%,55,335,10.22%,Click Here
BAILEY,"3,172",137,137,4.32%,39,176,5.55%,Click Here
HANSFORD,"3,002",180,180,6.0%,52,232,7.73%,Click Here
DALLAM,"2,873",111,111,3.86%,61,172,5.99%,Click Here
HARTLEY,"2,846",239,239,8.4%,53,292,10.26%,Click Here
FISHER,"2,705",201,201,7.43%,49,250,9.24%,Click Here
REAL,"2,698",328,328,12.16%,41,369,13.68%,Click Here
CRANE,"2,674",132,132,4.94%,0,132,4.94%,Click Here
GARZA,"2,651",145,151,5.7%,25,176,6.64%,Click Here
COKE,"2,460",155,155,6.3%,0,155,6.3%,Click Here
SHACKELFORD,"2,439",183,183,7.5%,55,238,9.76%,Click Here
BAYLOR,"2,430",228,228,9.38%,1,229,9.42%,Click Here
DONLEY,"2,414",230,230,9.53%,38,268,11.1%,Click Here
HARDEMAN,"2,388",113,113,4.73%,20,133,5.57%,Click Here
SUTTON,"2,348",204,204,8.69%,12,216,9.2%,Click Here
HEMPHILL,"2,347",206,206,8.78%,27,233,9.93%,Click Here
CROCKETT,"2,289",138,138,6.03%,19,157,6.86%,Click Here
KNOX,"2,230",68,68,3.05%,15,83,3.72%,Click Here
HUDSPETH,"2,212",53,53,2.4%,12,65,2.94%,Click Here
KINNEY,"2,175",263,263,12.09%,10,273,12.55%,Click Here
UPTON,"2,114",195,195,9.22%,7,202,9.56%,Click Here
COLLINGSWORTH,"1,887",134,134,7.1%,37,171,9.06%,Click Here
HALL,"1,886",115,115,6.1%,24,139,7.37%,Click Here
LIPSCOMB,"1,818",76,76,4.18%,104,180,9.9%,Click Here
REAGAN,"1,803",102,102,5.66%,5,107,5.93%,Click Here
CONCHO,"1,795",92,92,5.13%,45,137,7.63%,Click Here
SCHLEICHER,"1,732",133,133,7.68%,14,147,8.49%,Click Here
CULBERSON,"1,707",41,41,2.4%,0,41,2.4%,Click Here
COCHRAN,"1,676",68,68,4.06%,43,111,6.62%,Click Here
JEFF DAVIS,"1,574",179,179,11.37%,24,203,12.9%,Click Here
MENARD,"1,516",127,127,8.38%,26,153,10.09%,Click Here
EDWARDS,"1,496",97,97,6.48%,13,110,7.35%,Click Here
SHERMAN,"1,448",121,121,8.36%,19,140,9.67%,Click Here
DICKENS,"1,433",88,88,6.14%,0,88,6.14%,Click Here
ARMSTRONG,"1,429",120,120,8.4%,22,142,9.94%,Click Here
OLDHAM,"1,340",74,74,5.52%,21,95,7.09%,Click Here
IRION,"1,230",79,79,6.42%,8,87,7.07%,Click Here
THROCKMORTON,"1,217",83,83,6.82%,10,93,7.64%,Click Here
BRISCOE,"1,037",66,66,6.36%,29,95,9.16%,Click Here
COTTLE,994,69,69,6.94%,11,80,8.05%,Click Here
STONEWALL,955,72,72,7.54%,4,76,7.96%,Click Here
STERLING,892,55,55,6.17%,4,59,6.61%,Click Here
MOTLEY,849,54,54,6.36%,27,81,9.54%,Click Here
GLASSCOCK,840,60,60,7.14%,19,79,9.4%,Click Here
FOARD,806,45,45,5.58%,0,45,5.58%,Click Here
ROBERTS,722,64,64,8.86%,16,80,11.08%,Click Here
MCMULLEN,644,63,63,9.78%,0,63,9.78%,Click Here
TERRELL,626,54,54,8.63%,11,65,10.38%,Click Here
KENT,599,42,42,7.01%,0,42,7.01%,Click Here
BORDEN,487,40,40,8.21%,0,40,8.21%,Click Here
KENEDY,270,21,21,7.78%,2,23,8.52%,Click Here
KING,165,12,12,7.27%,1,13,7.88%,Click Here
LOVING,128,5,5,3.91%,1,6,4.69%,Click Here
TOTAL,"18,623,931","927,498","927,522",4.98%,"184,522","1,112,044",5.97%,
