County,Registered Voters,# In Person On 10/31/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
COLORADO,"14,775",411,"6,849",46.36%,328,"7,177",48.58%,Click Here
LIMESTONE,"14,443",339,"6,085",42.13%,243,"6,328",43.81%,Click Here
LAVACA,"14,389",402,"6,591",45.81%,503,"7,094",49.3%,Click Here
HOCKLEY,"13,984",311,"5,150",36.83%,203,"5,353",38.28%,Click Here
HOUSTON,"13,901",357,"5,565",40.03%,400,"5,965",42.91%,Click Here
BURLESON,"13,840",363,"6,416",46.36%,320,"6,736",48.67%,Click Here
BOSQUE,"13,638",394,"5,917",43.39%,225,"6,142",45.04%,Click Here
HUTCHINSON,"13,442",370,"5,771",42.93%,194,"5,965",44.38%,Click Here
FREESTONE,"13,406",344,"6,149",45.87%,2,"6,151",45.88%,Click Here
CALHOUN,"13,223",279,"4,798",36.29%,185,"4,983",37.68%,Click Here
GONZALES,"13,174",332,"5,334",40.49%,247,"5,581",42.36%,Click Here
LEON,"12,654",353,"5,501",43.47%,256,"5,757",45.5%,Click Here
ROBERTSON,"12,600",354,"5,650",44.84%,12,"5,662",44.94%,Click Here
EASTLAND,"12,520",322,"5,469",43.68%,344,"5,813",46.43%,Click Here
YOUNG,"12,394",312,"6,117",49.35%,158,"6,275",50.63%,Click Here
GRAY,"12,317",227,"4,959",40.26%,346,"5,305",43.07%,Click Here
TRINITY,"12,283",274,"5,255",42.78%,125,"5,380",43.8%,Click Here
LEE,"12,168",367,"5,682",46.7%,226,"5,908",48.55%,Click Here
WILLACY,"11,703",276,"2,997",25.61%,71,"3,068",26.22%,Click Here
DEWITT,"11,357",311,"5,027",44.26%,304,"5,331",46.94%,Click Here
BLANCO,"11,014",347,"6,623",60.13%,238,"6,861",62.29%,Click Here
JONES,"10,883",272,"3,544",32.56%,221,"3,765",34.6%,Click Here
ANDREWS,"10,739",265,"4,300",40.04%,73,"4,373",40.72%,Click Here
FALLS,"10,562",226,"3,077",29.13%,203,"3,280",31.05%,Click Here
GAINES,"10,467",292,"4,611",44.05%,70,"4,681",44.72%,Click Here
CALLAHAN,"10,439",334,"4,869",46.64%,50,"4,919",47.12%,Click Here
MOORE,"10,130",193,"3,190",31.49%,137,"3,327",32.84%,Click Here
COMANCHE,"10,022",307,"4,403",43.93%,197,"4,600",45.9%,Click Here
JACKSON,"9,894",261,"4,321",43.67%,12,"4,333",43.79%,Click Here
FRIO,"9,526",173,"2,450",25.72%,235,"2,685",28.19%,Click Here
NEWTON,"9,486",217,"3,259",34.36%,107,"3,366",35.48%,Click Here
RAINS,"9,404",308,"4,598",48.89%,171,"4,769",50.71%,Click Here
SCURRY,"9,366",217,"3,805",40.63%,102,"3,907",41.71%,Click Here
MORRIS,"8,948",209,"3,280",36.66%,158,"3,438",38.42%,Click Here
DEAF SMITH,"8,756",191,"2,702",30.86%,147,"2,849",32.54%,Click Here
RED RIVER,"8,746",199,"3,717",42.5%,180,"3,897",44.56%,Click Here
NOLAN,"8,494",188,"2,802",32.99%,103,"2,905",34.2%,Click Here
MADISON,"8,471",271,"3,791",44.75%,120,"3,911",46.17%,Click Here
KARNES,"8,449",186,"2,772",32.81%,247,"3,019",35.73%,Click Here
SABINE,"8,446",196,"3,736",44.23%,209,"3,945",46.71%,Click Here
CAMP,"8,424",166,"3,617",42.94%,190,"3,807",45.19%,Click Here
PECOS,"8,328",224,"2,712",32.56%,105,"2,817",33.83%,Click Here
CLAY,"8,291",190,"3,355",40.47%,146,"3,501",42.23%,Click Here
ZAPATA,"8,182",272,"2,922",35.71%,56,"2,978",36.4%,Click Here
WILBARGER,"8,126",186,"3,018",37.14%,193,"3,211",39.52%,Click Here
DUVAL,"8,031",158,"2,664",33.17%,447,"3,111",38.74%,Click Here
LAMB,"7,883",133,"1,948",24.71%,127,"2,075",26.32%,Click Here
REEVES,"7,838",169,"2,033",25.94%,155,"2,188",27.92%,Click Here
MARION,"7,822",192,"2,940",37.59%,195,"3,135",40.08%,Click Here
ZAVALA,"7,810",200,"1,830",23.43%,73,"1,903",24.37%,Click Here
LIVE OAK,"7,774",178,"3,127",40.22%,116,"3,243",41.72%,Click Here
FRANKLIN,"7,599",7,"3,322",43.72%,125,"3,447",45.36%,Click Here
SOMERVELL,"7,420",235,"3,867",52.12%,90,"3,957",53.33%,Click Here
BREWSTER,"7,408",216,"2,894",39.07%,214,"3,108",41.95%,Click Here
WARD,"7,047",130,"2,204",31.28%,89,"2,293",32.54%,Click Here
ARCHER,"7,008",263,"3,524",50.29%,87,"3,611",51.53%,Click Here
RUNNELS,"6,807",164,"2,250",33.05%,98,"2,348",34.49%,Click Here
DAWSON,"6,776",110,"2,249",33.19%,0,"2,249",33.19%,Click Here
DIMMIT,"6,706",103,"1,824",27.2%,176,"2,000",29.82%,Click Here
TERRY,"6,412",131,"2,251",35.11%,88,"2,339",36.48%,Click Here
HAMILTON,"6,260",204,"2,953",47.17%,111,"3,064",48.95%,Click Here
COLEMAN,"6,139",166,"3,174",51.7%,157,"3,331",54.26%,Click Here
SAN AUGUSTINE,"6,038",140,"2,348",38.89%,115,"2,463",40.79%,Click Here
STEPHENS,"5,881",106,"2,562",43.56%,115,"2,677",45.52%,Click Here
JACK,"5,857",174,"2,877",49.12%,154,"3,031",51.75%,Click Here
GOLIAD,"5,833",166,"2,500",42.86%,127,"2,627",45.04%,Click Here
MCCULLOCH,"5,424",132,"2,343",43.2%,100,"2,443",45.04%,Click Here
OCHILTREE,"5,201",91,"1,931",37.13%,108,"2,039",39.2%,Click Here
BROOKS,"4,945",117,"1,380",27.91%,129,"1,509",30.52%,Click Here
REFUGIO,"4,938",89,"1,841",37.28%,67,"1,908",38.64%,Click Here
PARMER,"4,549",86,"1,057",23.24%,56,"1,113",24.47%,Click Here
MITCHELL,"4,526",105,"1,616",35.7%,50,"1,666",36.81%,Click Here
PRESIDIO,"4,429",111,"1,259",28.43%,44,"1,303",29.42%,Click Here
LYNN,"4,385",76,"1,368",31.2%,38,"1,406",32.06%,Click Here
CARSON,"4,297",103,"1,849",43.03%,51,"1,900",44.22%,Click Here
YOAKUM,"4,289",89,"1,636",38.14%,39,"1,675",39.05%,Click Here
LASALLE,"4,210",85,"1,308",31.07%,200,"1,508",35.82%,Click Here
DELTA,"4,112",132,"1,576",38.33%,0,"1,576",38.33%,Click Here
WINKLER,"4,086",74,969,23.72%,11,980,23.98%,Click Here
SWISHER,"3,900",109,"1,321",33.87%,0,"1,321",33.87%,Click Here
CHILDRESS,"3,804",77,"1,424",37.43%,60,"1,484",39.01%,Click Here
SAN SABA,"3,795",88,"1,745",45.98%,84,"1,829",48.19%,Click Here
CASTRO,"3,694",70,"1,011",27.37%,42,"1,053",28.51%,Click Here
FLOYD,"3,660",95,"1,396",38.14%,70,"1,466",40.05%,Click Here
CROSBY,"3,638",60,931,25.59%,72,"1,003",27.57%,Click Here
MILLS,"3,626",119,"1,962",54.11%,72,"2,034",56.09%,Click Here
JIM HOGG,"3,548",74,679,19.14%,185,864,24.35%,Click Here
MARTIN,"3,497",107,"1,343",38.4%,26,"1,369",39.15%,Click Here
HASKELL,"3,442",94,"1,436",41.72%,45,"1,481",43.03%,Click Here
WHEELER,"3,408",72,"1,522",44.66%,91,"1,613",47.33%,Click Here
KIMBLE,"3,318",99,"1,686",50.81%,69,"1,755",52.89%,Click Here
MASON,"3,278",88,"1,890",57.66%,87,"1,977",60.31%,Click Here
BAILEY,"3,172",87,"1,019",32.12%,71,"1,090",34.36%,Click Here
HANSFORD,"3,002",59,"1,201",40.01%,97,"1,298",43.24%,Click Here
DALLAM,"2,873",43,762,26.52%,76,838,29.17%,Click Here
HARTLEY,"2,846",84,"1,317",46.28%,76,"1,393",48.95%,Click Here
FISHER,"2,705",63,"1,115",41.22%,76,"1,191",44.03%,Click Here
REAL,"2,698",83,"1,369",50.74%,58,"1,427",52.89%,Click Here
CRANE,"2,674",51,862,32.24%,0,862,32.24%,Click Here
GARZA,"2,651",69,"1,005",37.91%,44,"1,049",39.57%,Click Here
COKE,"2,460",61,"1,066",43.33%,0,"1,066",43.33%,Click Here
SHACKELFORD,"2,439",76,"1,090",44.69%,85,"1,175",48.18%,Click Here
BAYLOR,"2,430",55,"1,283",52.8%,1,"1,284",52.84%,Click Here
DONLEY,"2,414",68,"1,100",45.57%,61,"1,161",48.09%,Click Here
HARDEMAN,"2,388",35,756,31.66%,35,791,33.12%,Click Here
SUTTON,"2,348",61,987,42.04%,22,"1,009",42.97%,Click Here
HEMPHILL,"2,347",62,"1,084",46.19%,42,"1,126",47.98%,Click Here
CROCKETT,"2,289",68,947,41.37%,39,986,43.08%,Click Here
KNOX,"2,230",32,534,23.95%,46,580,26.01%,Click Here
HUDSPETH,"2,212",32,305,13.79%,22,327,14.78%,Click Here
KINNEY,"2,175",55,998,45.89%,23,"1,021",46.94%,Click Here
UPTON,"2,114",53,925,43.76%,15,940,44.47%,Click Here
COLLINGSWORTH,"1,887",56,719,38.1%,55,774,41.02%,Click Here
HALL,"1,886",60,667,35.37%,35,702,37.22%,Click Here
LIPSCOMB,"1,818",51,503,27.67%,123,626,34.43%,Click Here
REAGAN,"1,803",50,604,33.5%,7,611,33.89%,Click Here
CONCHO,"1,795",40,641,35.71%,58,699,38.94%,Click Here
SCHLEICHER,"1,732",41,753,43.48%,49,802,46.3%,Click Here
CULBERSON,"1,707",35,389,22.79%,2,391,22.91%,Click Here
COCHRAN,"1,676",28,439,26.19%,54,493,29.42%,Click Here
JEFF DAVIS,"1,574",39,811,51.52%,45,856,54.38%,Click Here
MENARD,"1,516",56,712,46.97%,54,766,50.53%,Click Here
EDWARDS,"1,496",44,656,43.85%,26,682,45.59%,Click Here
SHERMAN,"1,448",38,572,39.5%,32,604,41.71%,Click Here
DICKENS,"1,433",37,554,38.66%,0,554,38.66%,Click Here
ARMSTRONG,"1,429",38,773,54.09%,50,823,57.59%,Click Here
OLDHAM,"1,340",25,527,39.33%,31,558,41.64%,Click Here
IRION,"1,230",34,626,50.89%,17,643,52.28%,Click Here
THROCKMORTON,"1,217",33,510,41.91%,17,527,43.3%,Click Here
BRISCOE,"1,037",40,420,40.5%,50,470,45.32%,Click Here
COTTLE,994,28,480,48.29%,22,502,50.5%,Click Here
STONEWALL,955,33,458,47.96%,20,478,50.05%,Click Here
STERLING,892,20,409,45.85%,26,435,48.77%,Click Here
MOTLEY,849,21,371,43.7%,45,416,49.0%,Click Here
GLASSCOCK,840,28,421,50.12%,30,451,53.69%,Click Here
FOARD,806,29,402,49.88%,4,406,50.37%,Click Here
ROBERTS,722,24,334,46.26%,19,353,48.89%,Click Here
MCMULLEN,644,22,331,51.4%,0,331,51.4%,Click Here
TERRELL,626,14,274,43.77%,20,294,46.96%,Click Here
KENT,599,29,262,43.74%,13,275,45.91%,Click Here
BORDEN,487,14,278,57.08%,0,278,57.08%,Click Here
KENEDY,270,9,101,37.41%,6,107,39.63%,Click Here
KING,165,12,99,60.0%,2,101,61.21%,Click Here
LOVING,128,8,68,53.13%,1,69,53.91%,Click Here
TOTAL,"18,623,931","591,410","7,831,393",42.05%,"326,716","8,158,109",43.8%,
