County,Registered Voters,# In Person On 10/26/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
ANGELINA,"55,965","1,273","16,802",30.02%,802,"17,604",31.46%,Click Here
WISE,"55,864","2,672","19,259",34.47%,683,"19,942",35.7%,Click Here
LIBERTY,"54,530","1,643","14,929",27.38%,399,"15,328",28.11%,Click Here
HOOD,"51,704","1,532","16,519",31.95%,"1,040","17,559",33.96%,Click Here
HARRISON,"47,283",685,"15,320",32.4%,431,"15,751",33.31%,Click Here
CORYELL,"46,995","1,330","11,069",23.55%,580,"11,649",24.79%,Click Here
SAN PATRICIO,"45,265","1,504","11,873",26.23%,745,"12,618",27.88%,Click Here
WALLER,"44,330","1,629","11,745",26.49%,304,"12,049",27.18%,Click Here
POLK,"44,308","1,134","10,180",22.98%,"2,335","12,515",28.25%,Click Here
HARDIN,"43,116",712,"14,237",33.02%,353,"14,590",33.84%,Click Here
VAN ZANDT,"41,749","1,608","7,077",16.95%,364,"7,441",17.82%,Click Here
KERR,"40,065","1,211","15,087",37.66%,"1,071","16,158",40.33%,Click Here
NACOGDOCHES,"40,051","1,124","11,224",28.02%,866,"12,090",30.19%,Click Here
BURNET,"39,186",968,"14,554",37.14%,"1,162","15,716",40.11%,Click Here
WILSON,"39,092","1,759","13,359",34.17%,716,"14,075",36.0%,Click Here
KENDALL,"38,959","1,843","15,317",39.32%,"1,083","16,400",42.1%,Click Here
WALKER,"38,958","1,447","11,659",29.93%,456,"12,115",31.1%,Click Here
MEDINA,"38,525","1,533","12,464",32.35%,510,"12,974",33.68%,Click Here
CHAMBERS,"37,026","1,114","13,203",35.66%,182,"13,385",36.15%,Click Here
STARR,"36,420",649,"6,853",18.82%,136,"6,989",19.19%,Click Here
MAVERICK,"35,947","1,400","5,528",15.38%,185,"5,713",15.89%,Click Here
WOOD,"35,589",966,"8,734",24.54%,634,"9,368",26.32%,Click Here
RUSK,"34,277","1,340","8,913",26.0%,561,"9,474",27.64%,Click Here
LAMAR,"33,110",842,"9,765",29.49%,603,"10,368",31.31%,Click Here
NAVARRO,"32,955",638,"8,156",24.75%,304,"8,460",25.67%,Click Here
ATASCOSA,"32,142","1,005","8,161",25.39%,285,"8,446",26.28%,Click Here
CHEROKEE,"32,121","1,117","9,414",29.31%,370,"9,784",30.46%,Click Here
ANDERSON,"30,613",874,"7,703",25.16%,435,"8,138",26.58%,Click Here
UPSHUR,"30,374",926,"8,990",29.6%,422,"9,412",30.99%,Click Here
COOKE,"30,193",751,"8,344",27.64%,473,"8,817",29.2%,Click Here
VAL VERDE,"30,117",994,"6,074",20.17%,534,"6,608",21.94%,Click Here
CALDWELL,"27,097",879,"7,211",26.61%,308,"7,519",27.75%,Click Here
HILL,"26,962",607,"7,225",26.8%,205,"7,430",27.56%,Click Here
WHARTON,"26,422",397,"8,586",32.5%,347,"8,933",33.81%,Click Here
JIM WELLS,"26,414",752,"5,360",20.29%,252,"5,612",21.25%,Click Here
ERATH,"25,961",772,"8,078",31.12%,274,"8,352",32.17%,Click Here
WASHINGTON,"25,794","1,081","8,544",33.12%,24,"8,568",33.22%,Click Here
BROWN,"25,500",965,"5,955",23.35%,509,"6,464",25.35%,Click Here
HOPKINS,"25,383",827,"7,458",29.38%,345,"7,803",30.74%,Click Here
FANNIN,"24,942",995,"6,510",26.1%,482,"6,992",28.03%,Click Here
JASPER,"24,496",559,"8,053",32.87%,258,"8,311",33.93%,Click Here
MATAGORDA,"22,394",764,"5,951",26.57%,302,"6,253",27.92%,Click Here
AUSTIN,"22,116",782,"7,337",33.18%,329,"7,666",34.66%,Click Here
GILLESPIE,"21,884",769,"6,917",31.61%,701,"7,618",34.81%,Click Here
CASS,"21,812",282,"6,852",31.41%,458,"7,310",33.51%,Click Here
GRIMES,"21,080",780,"5,892",27.95%,375,"6,267",29.73%,Click Here
SAN JACINTO,"20,406",879,"4,771",23.38%,249,"5,020",24.6%,Click Here
PALO PINTO,"20,351",625,"5,815",28.57%,364,"6,179",30.36%,Click Here
ARANSAS,"19,849",429,"6,526",32.88%,357,"6,883",34.68%,Click Here
BANDERA,"19,026",430,"6,626",34.83%,283,"6,909",36.31%,Click Here
KLEBERG,"18,689",519,"4,514",24.15%,239,"4,753",25.43%,Click Here
LLANO,"18,455",467,"7,648",41.44%,633,"8,281",44.87%,Click Here
FAYETTE,"18,353",591,"5,108",27.83%,446,"5,554",30.26%,Click Here
HALE,"18,272",283,"3,976",21.76%,167,"4,143",22.67%,Click Here
TITUS,"18,026",171,"2,228",12.36%,92,"2,320",12.87%,Click Here
UVALDE,"17,929",393,"4,139",23.09%,273,"4,412",24.61%,Click Here
PANOLA,"17,836",349,"4,549",25.5%,272,"4,821",27.03%,Click Here
MILAM,"17,208",457,"5,745",33.39%,257,"6,002",34.88%,Click Here
HOWARD,"17,198",565,"4,627",26.9%,320,"4,947",28.76%,Click Here
LAMPASAS,"16,913",633,"5,822",34.42%,318,"6,140",36.3%,Click Here
SHELBY,"16,355",424,"3,879",23.72%,248,"4,127",25.23%,Click Here
BEE,"15,979",395,"3,915",24.5%,310,"4,225",26.44%,Click Here
MONTAGUE,"15,649",316,"5,848",37.37%,198,"6,046",38.64%,Click Here
TYLER,"14,888",490,"3,874",26.02%,153,"4,027",27.05%,Click Here
COLORADO,"14,775",322,"4,851",32.83%,295,"5,146",34.83%,Click Here
LIMESTONE,"14,443",411,"4,394",30.42%,214,"4,608",31.9%,Click Here
LAVACA,"14,389",595,"4,192",29.13%,404,"4,596",31.94%,Click Here
HOCKLEY,"13,984",240,"3,513",25.12%,166,"3,679",26.31%,Click Here
HOUSTON,"13,901",381,"3,584",25.78%,400,"3,984",28.66%,Click Here
BURLESON,"13,840",496,"4,227",30.54%,273,"4,500",32.51%,Click Here
BOSQUE,"13,638",394,"3,994",29.29%,150,"4,144",30.39%,Click Here
HUTCHINSON,"13,442",67,"4,179",31.09%,170,"4,349",32.35%,Click Here
FREESTONE,"13,406",169,"4,347",32.43%,2,"4,349",32.44%,Click Here
CALHOUN,"13,223",289,"3,226",24.4%,164,"3,390",25.64%,Click Here
GONZALES,"13,174",252,"3,681",27.94%,210,"3,891",29.54%,Click Here
LEON,"12,654",384,"3,657",28.9%,226,"3,883",30.69%,Click Here
ROBERTSON,"12,600",423,"3,863",30.66%,11,"3,874",30.75%,Click Here
EASTLAND,"12,520",378,"3,739",29.86%,299,"4,038",32.25%,Click Here
YOUNG,"12,394",378,"4,330",34.94%,128,"4,458",35.97%,Click Here
GRAY,"12,317",377,"3,629",29.46%,302,"3,931",31.92%,Click Here
TRINITY,"12,283",289,"3,734",30.4%,96,"3,830",31.18%,Click Here
LEE,"12,168",332,"3,843",31.58%,181,"4,024",33.07%,Click Here
WILLACY,"11,703",274,"1,943",16.6%,48,"1,991",17.01%,Click Here
DEWITT,"11,357",329,"3,442",30.31%,252,"3,694",32.53%,Click Here
BLANCO,"11,014",206,"4,697",42.65%,178,"4,875",44.26%,Click Here
JONES,"10,883",391,"2,317",21.29%,186,"2,503",23.0%,Click Here
ANDREWS,"10,739",332,"2,753",25.64%,63,"2,816",26.22%,Click Here
FALLS,"10,562",236,"1,848",17.5%,174,"2,022",19.14%,Click Here
GAINES,"10,467",369,"3,147",30.07%,57,"3,204",30.61%,Click Here
CALLAHAN,"10,439",175,"3,412",32.69%,24,"3,436",32.92%,Click Here
MOORE,"10,130",237,"2,219",21.91%,107,"2,326",22.96%,Click Here
COMANCHE,"10,022",153,"3,011",30.04%,167,"3,178",31.71%,Click Here
JACKSON,"9,894",358,"2,778",28.08%,8,"2,786",28.16%,Click Here
FRIO,"9,526",536,"1,695",17.79%,188,"1,883",19.77%,Click Here
NEWTON,"9,486",208,"2,218",23.38%,77,"2,295",24.19%,Click Here
RAINS,"9,404",356,"2,965",31.53%,147,"3,112",33.09%,Click Here
SCURRY,"9,366",147,"2,694",28.76%,88,"2,782",29.7%,Click Here
MORRIS,"8,948",198,"2,275",25.42%,134,"2,409",26.92%,Click Here
DEAF SMITH,"8,756",110,"1,757",20.07%,117,"1,874",21.4%,Click Here
RED RIVER,"8,746",283,"2,629",30.06%,143,"2,772",31.69%,Click Here
NOLAN,"8,494",130,"1,852",21.8%,80,"1,932",22.75%,Click Here
MADISON,"8,471",257,"2,321",27.4%,103,"2,424",28.62%,Click Here
KARNES,"8,449",156,"1,787",21.15%,218,"2,005",23.73%,Click Here
SABINE,"8,446",202,"2,651",31.39%,170,"2,821",33.4%,Click Here
CAMP,"8,424",199,"2,540",30.15%,159,"2,699",32.04%,Click Here
PECOS,"8,328",136,"1,755",21.07%,93,"1,848",22.19%,Click Here
CLAY,"8,291",219,"2,327",28.07%,126,"2,453",29.59%,Click Here
ZAPATA,"8,182",388,"1,848",22.59%,35,"1,883",23.01%,Click Here
WILBARGER,"8,126",170,"2,047",25.19%,180,"2,227",27.41%,Click Here
DUVAL,"8,031",468,"1,874",23.33%,376,"2,250",28.02%,Click Here
LAMB,"7,883",102,"1,223",15.51%,92,"1,315",16.68%,Click Here
REEVES,"7,838",184,"1,290",16.46%,134,"1,424",18.17%,Click Here
MARION,"7,822",174,"2,026",25.9%,162,"2,188",27.97%,Click Here
ZAVALA,"7,810",160,"1,056",13.52%,58,"1,114",14.26%,Click Here
LIVE OAK,"7,774",252,"2,095",26.95%,93,"2,188",28.15%,Click Here
FRANKLIN,"7,599",162,"2,364",31.11%,105,"2,469",32.49%,Click Here
SOMERVELL,"7,420",267,"2,686",36.2%,80,"2,766",37.28%,Click Here
BREWSTER,"7,408",108,"2,013",27.17%,183,"2,196",29.64%,Click Here
WARD,"7,047",101,"1,492",21.17%,73,"1,565",22.21%,Click Here
ARCHER,"7,008",127,"2,402",34.28%,70,"2,472",35.27%,Click Here
RUNNELS,"6,807",169,"1,600",23.51%,90,"1,690",24.83%,Click Here
DAWSON,"6,776",105,"1,577",23.27%,0,"1,577",23.27%,Click Here
DIMMIT,"6,706",262,"1,182",17.63%,151,"1,333",19.88%,Click Here
TERRY,"6,412",162,"1,497",23.35%,84,"1,581",24.66%,Click Here
HAMILTON,"6,260",192,"1,987",31.74%,96,"2,083",33.27%,Click Here
COLEMAN,"6,139",196,"2,337",38.07%,144,"2,481",40.41%,Click Here
SAN AUGUSTINE,"6,038",102,"1,602",26.53%,98,"1,700",28.16%,Click Here
STEPHENS,"5,881",158,"1,910",32.48%,91,"2,001",34.02%,Click Here
JACK,"5,857",215,"2,000",34.15%,121,"2,121",36.21%,Click Here
GOLIAD,"5,833",158,"1,688",28.94%,117,"1,805",30.94%,Click Here
MCCULLOCH,"5,424",146,"1,664",30.68%,88,"1,752",32.3%,Click Here
OCHILTREE,"5,201",127,"1,361",26.17%,95,"1,456",27.99%,Click Here
BROOKS,"4,945",151,945,19.11%,114,"1,059",21.42%,Click Here
REFUGIO,"4,938",119,"1,239",25.09%,57,"1,296",26.25%,Click Here
PARMER,"4,549",36,656,14.42%,46,702,15.43%,Click Here
MITCHELL,"4,526",82,"1,128",24.92%,47,"1,175",25.96%,Click Here
PRESIDIO,"4,429",53,807,18.22%,36,843,19.03%,Click Here
LYNN,"4,385",102,824,18.79%,31,855,19.5%,Click Here
CARSON,"4,297",152,"1,240",28.86%,47,"1,287",29.95%,Click Here
YOAKUM,"4,289",88,"1,145",26.7%,33,"1,178",27.47%,Click Here
LASALLE,"4,210",125,889,21.12%,182,"1,071",25.44%,Click Here
DELTA,"4,112",74,"1,014",24.66%,0,"1,014",24.66%,Click Here
WINKLER,"4,086",32,542,13.26%,8,550,13.46%,Click Here
SWISHER,"3,900",77,841,21.56%,0,841,21.56%,Click Here
CHILDRESS,"3,804",110,965,25.37%,50,"1,015",26.68%,Click Here
SAN SABA,"3,795",63,"1,210",31.88%,70,"1,280",33.73%,Click Here
CASTRO,"3,694",53,626,16.95%,38,664,17.98%,Click Here
FLOYD,"3,660",23,911,24.89%,60,971,26.53%,Click Here
CROSBY,"3,638",60,589,16.19%,60,649,17.84%,Click Here
MILLS,"3,626",110,"1,419",39.13%,68,"1,487",41.01%,Click Here
JIM HOGG,"3,548",62,378,10.65%,132,510,14.37%,Click Here
MARTIN,"3,497",74,821,23.48%,21,842,24.08%,Click Here
HASKELL,"3,442",94,994,28.88%,32,"1,026",29.81%,Click Here
WHEELER,"3,408",56,"1,071",31.43%,81,"1,152",33.8%,Click Here
KIMBLE,"3,318",95,"1,213",36.56%,62,"1,275",38.43%,Click Here
MASON,"3,278",86,"1,326",40.45%,71,"1,397",42.62%,Click Here
BAILEY,"3,172",41,611,19.26%,54,665,20.96%,Click Here
HANSFORD,"3,002",33,806,26.85%,87,893,29.75%,Click Here
DALLAM,"2,873",38,478,16.64%,70,548,19.07%,Click Here
HARTLEY,"2,846",34,955,33.56%,70,"1,025",36.02%,Click Here
FISHER,"2,705",45,735,27.17%,66,801,29.61%,Click Here
REAL,"2,698",44,"1,050",38.92%,48,"1,098",40.7%,Click Here
CRANE,"2,674",43,524,19.6%,0,524,19.6%,Click Here
GARZA,"2,651",40,664,25.05%,34,698,26.33%,Click Here
COKE,"2,460",74,685,27.85%,0,685,27.85%,Click Here
SHACKELFORD,"2,439",69,759,31.12%,74,833,34.15%,Click Here
BAYLOR,"2,430",75,961,39.55%,1,962,39.59%,Click Here
DONLEY,"2,414",51,707,29.29%,56,763,31.61%,Click Here
HARDEMAN,"2,388",20,518,21.69%,32,550,23.03%,Click Here
SUTTON,"2,348",45,709,30.2%,18,727,30.96%,Click Here
HEMPHILL,"2,347",58,801,34.13%,38,839,35.75%,Click Here
CROCKETT,"2,289",26,625,27.3%,31,656,28.66%,Click Here
KNOX,"2,230",44,347,15.56%,40,387,17.35%,Click Here
HUDSPETH,"2,212",17,202,9.13%,19,221,9.99%,Click Here
KINNEY,"2,175",61,728,33.47%,17,745,34.25%,Click Here
UPTON,"2,114",63,646,30.56%,15,661,31.27%,Click Here
COLLINGSWORTH,"1,887",16,478,25.33%,54,532,28.19%,Click Here
HALL,"1,886",26,452,23.97%,31,483,25.61%,Click Here
LIPSCOMB,"1,818",47,324,17.82%,117,441,24.26%,Click Here
REAGAN,"1,803",11,390,21.63%,7,397,22.02%,Click Here
CONCHO,"1,795",44,432,24.07%,56,488,27.19%,Click Here
SCHLEICHER,"1,732",21,523,30.2%,32,555,32.04%,Click Here
CULBERSON,"1,707",26,244,14.29%,0,244,14.29%,Click Here
COCHRAN,"1,676",23,303,18.08%,51,354,21.12%,Click Here
JEFF DAVIS,"1,574",33,623,39.58%,36,659,41.87%,Click Here
MENARD,"1,516",45,462,30.47%,49,511,33.71%,Click Here
EDWARDS,"1,496",20,433,28.94%,21,454,30.35%,Click Here
SHERMAN,"1,448",32,378,26.1%,25,403,27.83%,Click Here
DICKENS,"1,433",21,379,26.45%,0,379,26.45%,Click Here
ARMSTRONG,"1,429",87,531,37.16%,31,562,39.33%,Click Here
OLDHAM,"1,340",40,355,26.49%,24,379,28.28%,Click Here
IRION,"1,230",38,393,31.95%,13,406,33.01%,Click Here
THROCKMORTON,"1,217",21,338,27.77%,14,352,28.92%,Click Here
BRISCOE,"1,037",13,258,24.88%,42,300,28.93%,Click Here
COTTLE,994,30,340,34.21%,17,357,35.92%,Click Here
STONEWALL,955,32,288,30.16%,12,300,31.41%,Click Here
STERLING,892,26,282,31.61%,25,307,34.42%,Click Here
MOTLEY,849,21,248,29.21%,40,288,33.92%,Click Here
GLASSCOCK,840,32,283,33.69%,24,307,36.55%,Click Here
FOARD,806,27,249,30.89%,4,253,31.39%,Click Here
ROBERTS,722,13,220,30.47%,17,237,32.83%,Click Here
MCMULLEN,644,22,226,35.09%,0,226,35.09%,Click Here
TERRELL,626,14,198,31.63%,16,214,34.19%,Click Here
KENT,599,11,154,25.71%,11,165,27.55%,Click Here
BORDEN,487,25,191,39.22%,0,191,39.22%,Click Here
KENEDY,270,6,61,22.59%,4,65,24.07%,Click Here
KING,165,0,49,29.7%,1,50,30.3%,Click Here
LOVING,128,5,32,25.0%,1,33,25.78%,Click Here
TOTAL,"18,623,931","636,894","4,892,563",26.27%,"264,187","5,156,750",27.69%,
