County,Registered Voters,# In Person On 10/29/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
DAWSON,"6,776",169,"2,015",29.74%,0,"2,015",29.74%,Click Here
DIMMIT,"6,706",158,"1,589",23.7%,168,"1,757",26.2%,Click Here
TERRY,"6,412",175,"1,961",30.58%,86,"2,047",31.92%,Click Here
HAMILTON,"6,260",224,"2,558",40.86%,105,"2,663",42.54%,Click Here
COLEMAN,"6,139",193,"2,869",46.73%,151,"3,020",49.19%,Click Here
SAN AUGUSTINE,"6,038",179,"2,045",33.87%,103,"2,148",35.57%,Click Here
STEPHENS,"5,881",131,"2,317",39.4%,105,"2,422",41.18%,Click Here
JACK,"5,857",202,"2,519",43.01%,135,"2,654",45.31%,Click Here
GOLIAD,"5,833",169,"2,148",36.82%,122,"2,270",38.92%,Click Here
MCCULLOCH,"5,424",152,"2,060",37.98%,95,"2,155",39.73%,Click Here
OCHILTREE,"5,201",134,"1,714",32.96%,106,"1,820",34.99%,Click Here
BROOKS,"4,945",99,"1,161",23.48%,121,"1,282",25.93%,Click Here
REFUGIO,"4,938",123,"1,638",33.17%,63,"1,701",34.45%,Click Here
PARMER,"4,549",98,896,19.7%,52,948,20.84%,Click Here
MITCHELL,"4,526",105,"1,415",31.26%,49,"1,464",32.35%,Click Here
PRESIDIO,"4,429",89,"1,047",23.64%,44,"1,091",24.63%,Click Here
LYNN,"4,385",128,"1,162",26.5%,36,"1,198",27.32%,Click Here
CARSON,"4,297",143,"1,616",37.61%,50,"1,666",38.77%,Click Here
YOAKUM,"4,289",130,"1,452",33.85%,35,"1,487",34.67%,Click Here
LASALLE,"4,210",103,"1,137",27.01%,188,"1,325",31.47%,Click Here
DELTA,"4,112",136,"1,324",32.2%,0,"1,324",32.2%,Click Here
WINKLER,"4,086",101,808,19.77%,9,817,20.0%,Click Here
SWISHER,"3,900",103,"1,117",28.64%,0,"1,117",28.64%,Click Here
CHILDRESS,"3,804",94,"1,258",33.07%,54,"1,312",34.49%,Click Here
SAN SABA,"3,795",132,"1,552",40.9%,78,"1,630",42.95%,Click Here
CASTRO,"3,694",81,838,22.69%,39,877,23.74%,Click Here
FLOYD,"3,660",117,"1,195",32.65%,63,"1,258",34.37%,Click Here
CROSBY,"3,638",81,781,21.47%,68,849,23.34%,Click Here
MILLS,"3,626",154,"1,759",48.51%,68,"1,827",50.39%,Click Here
JIM HOGG,"3,548",60,540,15.22%,161,701,19.76%,Click Here
MARTIN,"3,497",108,"1,133",32.4%,25,"1,158",33.11%,Click Here
HASKELL,"3,442",98,"1,255",36.46%,43,"1,298",37.71%,Click Here
WHEELER,"3,408",105,"1,335",39.17%,88,"1,423",41.75%,Click Here
KIMBLE,"3,318",98,"1,489",44.88%,65,"1,554",46.84%,Click Here
MASON,"3,278",127,"1,682",51.31%,82,"1,764",53.81%,Click Here
BAILEY,"3,172",85,821,25.88%,59,880,27.74%,Click Here
HANSFORD,"3,002",90,"1,038",34.58%,93,"1,131",37.67%,Click Here
DALLAM,"2,873",69,648,22.55%,71,719,25.03%,Click Here
HARTLEY,"2,846",97,"1,162",40.83%,73,"1,235",43.39%,Click Here
FISHER,"2,705",101,966,35.71%,69,"1,035",38.26%,Click Here
REAL,"2,698",2,"1,214",45.0%,54,"1,268",47.0%,Click Here
CRANE,"2,674",74,751,28.09%,0,751,28.09%,Click Here
GARZA,"2,651",93,880,33.2%,42,922,34.78%,Click Here
COKE,"2,460",75,909,36.95%,0,909,36.95%,Click Here
SHACKELFORD,"2,439",82,948,38.87%,79,"1,027",42.11%,Click Here
BAYLOR,"2,430",106,"1,180",48.56%,1,"1,181",48.6%,Click Here
DONLEY,"2,414",74,944,39.11%,59,"1,003",41.55%,Click Here
HARDEMAN,"2,388",67,646,27.05%,33,679,28.43%,Click Here
SUTTON,"2,348",50,868,36.97%,19,887,37.78%,Click Here
HEMPHILL,"2,347",57,965,41.12%,40,"1,005",42.82%,Click Here
CROCKETT,"2,289",71,800,34.95%,36,836,36.52%,Click Here
KNOX,"2,230",50,464,20.81%,43,507,22.74%,Click Here
HUDSPETH,"2,212",23,256,11.57%,21,277,12.52%,Click Here
KINNEY,"2,175",60,890,40.92%,19,909,41.79%,Click Here
UPTON,"2,114",65,813,38.46%,15,828,39.17%,Click Here
COLLINGSWORTH,"1,887",54,598,31.69%,55,653,34.61%,Click Here
HALL,"1,886",55,570,30.22%,35,605,32.08%,Click Here
LIPSCOMB,"1,818",40,424,23.32%,123,547,30.09%,Click Here
REAGAN,"1,803",60,506,28.06%,7,513,28.45%,Click Here
CONCHO,"1,795",42,553,30.81%,56,609,33.93%,Click Here
SCHLEICHER,"1,732",55,669,38.63%,40,709,40.94%,Click Here
CULBERSON,"1,707",21,325,19.04%,2,327,19.16%,Click Here
COCHRAN,"1,676",31,384,22.91%,54,438,26.13%,Click Here
JEFF DAVIS,"1,574",40,724,46.0%,41,765,48.6%,Click Here
MENARD,"1,516",46,599,39.51%,49,648,42.74%,Click Here
EDWARDS,"1,496",52,574,38.37%,25,599,40.04%,Click Here
SHERMAN,"1,448",34,502,34.67%,30,532,36.74%,Click Here
DICKENS,"1,433",38,484,33.78%,0,484,33.78%,Click Here
ARMSTRONG,"1,429",48,683,47.8%,50,733,51.29%,Click Here
OLDHAM,"1,340",34,457,34.1%,30,487,36.34%,Click Here
IRION,"1,230",60,537,43.66%,14,551,44.8%,Click Here
THROCKMORTON,"1,217",38,441,36.24%,17,458,37.63%,Click Here
BRISCOE,"1,037",29,333,32.11%,44,377,36.35%,Click Here
COTTLE,994,33,423,42.56%,19,442,44.47%,Click Here
STONEWALL,955,52,393,41.15%,14,407,42.62%,Click Here
STERLING,892,23,353,39.57%,25,378,42.38%,Click Here
MOTLEY,849,38,330,38.87%,43,373,43.93%,Click Here
GLASSCOCK,840,33,357,42.5%,29,386,45.95%,Click Here
FOARD,806,27,334,41.44%,4,338,41.94%,Click Here
ROBERTS,722,19,289,40.03%,19,308,42.66%,Click Here
MCMULLEN,644,32,290,45.03%,0,290,45.03%,Click Here
TERRELL,626,18,237,37.86%,18,255,40.73%,Click Here
KENT,599,31,209,34.89%,13,222,37.06%,Click Here
BORDEN,487,13,238,48.87%,0,238,48.87%,Click Here
KENEDY,270,12,85,31.48%,6,91,33.7%,Click Here
KING,165,14,78,47.27%,1,79,47.88%,Click Here
LOVING,128,10,57,44.53%,1,58,45.31%,Click Here
TOTAL,"18,623,931","670,015","6,616,681",35.53%,"295,974","6,912,655",37.12%,
