County,Registered Voters,# In Person On 10/28/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
CHAMBERS,"37,026","1,552","15,206",41.07%,195,"15,401",41.6%,Click Here
STARR,"36,420","1,010","8,005",21.98%,153,"8,158",22.4%,Click Here
MAVERICK,"35,947",964,"7,186",19.99%,194,"7,380",20.53%,Click Here
WOOD,"35,589","2,840","12,132",34.09%,634,"12,766",35.87%,Click Here
RUSK,"34,277","1,433","10,953",31.95%,592,"11,545",33.68%,Click Here
LAMAR,"33,110","1,184","11,434",34.53%,625,"12,059",36.42%,Click Here
NAVARRO,"32,955","1,065","9,637",29.24%,313,"9,950",30.19%,Click Here
ATASCOSA,"32,142","1,019","9,603",29.88%,309,"9,912",30.84%,Click Here
CHEROKEE,"32,121","1,314","11,281",35.12%,379,"11,660",36.3%,Click Here
ANDERSON,"30,613","1,297","9,520",31.1%,444,"9,964",32.55%,Click Here
UPSHUR,"30,374","1,201","10,695",35.21%,462,"11,157",36.73%,Click Here
COOKE,"30,193","1,091","9,865",32.67%,481,"10,346",34.27%,Click Here
VAL VERDE,"30,117",752,"7,230",24.01%,579,"7,809",25.93%,Click Here
CALDWELL,"27,097",872,"8,545",31.53%,329,"8,874",32.75%,Click Here
HILL,"26,962","1,098","8,648",32.07%,229,"8,877",32.92%,Click Here
WHARTON,"26,422",988,"9,764",36.95%,364,"10,128",38.33%,Click Here
JIM WELLS,"26,414",677,"6,200",23.47%,259,"6,459",24.45%,Click Here
ERATH,"25,961","1,127","9,532",36.72%,274,"9,806",37.77%,Click Here
WASHINGTON,"25,794","1,259","10,418",40.39%,30,"10,448",40.51%,Click Here
BROWN,"25,500","1,257","7,662",30.05%,521,"8,183",32.09%,Click Here
HOPKINS,"25,383","1,011","8,904",35.08%,367,"9,271",36.52%,Click Here
FANNIN,"24,942","1,035","8,176",32.78%,512,"8,688",34.83%,Click Here
JASPER,"24,496",854,"9,200",37.56%,273,"9,473",38.67%,Click Here
MATAGORDA,"22,394",935,"7,291",32.56%,335,"7,626",34.05%,Click Here
AUSTIN,"22,116",914,"8,500",38.43%,360,"8,860",40.06%,Click Here
GILLESPIE,"21,884","1,163","8,616",39.37%,740,"9,356",42.75%,Click Here
CASS,"21,812",850,"7,881",36.13%,481,"8,362",38.34%,Click Here
GRIMES,"21,080",732,"7,024",33.32%,388,"7,412",35.16%,Click Here
SAN JACINTO,"20,406","1,041","6,205",30.41%,275,"6,480",31.76%,Click Here
PALO PINTO,"20,351",752,"6,819",33.51%,382,"7,201",35.38%,Click Here
ARANSAS,"19,849",946,"7,743",39.01%,357,"8,100",40.81%,Click Here
BANDERA,"19,026","1,199","8,023",42.17%,300,"8,323",43.75%,Click Here
KLEBERG,"18,689",511,"5,216",27.91%,263,"5,479",29.32%,Click Here
LLANO,"18,455",860,"8,691",47.09%,656,"9,347",50.65%,Click Here
FAYETTE,"18,353",772,"6,215",33.86%,466,"6,681",36.4%,Click Here
HALE,"18,272",540,"4,685",25.64%,181,"4,866",26.63%,Click Here
TITUS,"18,026",323,"2,616",14.51%,107,"2,723",15.11%,Click Here
UVALDE,"17,929",545,"4,866",27.14%,291,"5,157",28.76%,Click Here
PANOLA,"17,836",520,"5,196",29.13%,284,"5,480",30.72%,Click Here
MILAM,"17,208",626,"6,477",37.64%,281,"6,758",39.27%,Click Here
HOWARD,"17,198",572,"5,466",31.78%,321,"5,787",33.65%,Click Here
LAMPASAS,"16,913",657,"6,716",39.71%,332,"7,048",41.67%,Click Here
SHELBY,"16,355",508,"4,702",28.75%,254,"4,956",30.3%,Click Here
BEE,"15,979",451,"4,528",28.34%,322,"4,850",30.35%,Click Here
MONTAGUE,"15,649",707,"6,659",42.55%,212,"6,871",43.91%,Click Here
TYLER,"14,888",590,"4,642",31.18%,194,"4,836",32.48%,Click Here
COLORADO,"14,775",509,"5,513",37.31%,307,"5,820",39.39%,Click Here
LIMESTONE,"14,443",490,"5,007",34.67%,226,"5,233",36.23%,Click Here
LAVACA,"14,389",599,"5,121",35.59%,448,"5,569",38.7%,Click Here
HOCKLEY,"13,984",475,"4,090",29.25%,184,"4,274",30.56%,Click Here
HOUSTON,"13,901",559,"4,366",31.41%,400,"4,766",34.29%,Click Here
BURLESON,"13,840",610,"5,118",36.98%,279,"5,397",39.0%,Click Here
BOSQUE,"13,638",550,"4,681",34.32%,193,"4,874",35.74%,Click Here
HUTCHINSON,"13,442",469,"4,677",34.79%,181,"4,858",36.14%,Click Here
FREESTONE,"13,406",556,"5,016",37.42%,2,"5,018",37.43%,Click Here
CALHOUN,"13,223",457,"3,801",28.75%,173,"3,974",30.05%,Click Here
GONZALES,"13,174",451,"4,266",32.38%,220,"4,486",34.05%,Click Here
LEON,"12,654",505,"4,355",34.42%,239,"4,594",36.3%,Click Here
ROBERTSON,"12,600",479,"4,456",35.37%,11,"4,467",35.45%,Click Here
EASTLAND,"12,520",437,"4,337",34.64%,307,"4,644",37.09%,Click Here
YOUNG,"12,394",502,"5,000",40.34%,142,"5,142",41.49%,Click Here
GRAY,"12,317",424,"4,209",34.17%,317,"4,526",36.75%,Click Here
TRINITY,"12,283",474,"4,308",35.07%,125,"4,433",36.09%,Click Here
LEE,"12,168",486,"4,472",36.75%,193,"4,665",38.34%,Click Here
WILLACY,"11,703",254,"2,282",19.5%,57,"2,339",19.99%,Click Here
DEWITT,"11,357",410,"4,018",35.38%,278,"4,296",37.83%,Click Here
BLANCO,"11,014",550,"5,379",48.84%,203,"5,582",50.68%,Click Here
JONES,"10,883",355,"2,776",25.51%,205,"2,981",27.39%,Click Here
ANDREWS,"10,739",365,"3,319",30.91%,67,"3,386",31.53%,Click Here
FALLS,"10,562",322,"2,305",21.82%,184,"2,489",23.57%,Click Here
GAINES,"10,467",393,"3,703",35.38%,61,"3,764",35.96%,Click Here
CALLAHAN,"10,439",408,"3,898",37.34%,33,"3,931",37.66%,Click Here
MOORE,"10,130",268,"2,584",25.51%,121,"2,705",26.7%,Click Here
COMANCHE,"10,022",401,"3,475",34.67%,181,"3,656",36.48%,Click Here
JACKSON,"9,894",420,"3,418",34.55%,8,"3,426",34.63%,Click Here
FRIO,"9,526",180,"1,945",20.42%,216,"2,161",22.69%,Click Here
NEWTON,"9,486",272,"2,587",27.27%,84,"2,671",28.16%,Click Here
RAINS,"9,404",494,"3,630",38.6%,153,"3,783",40.23%,Click Here
SCURRY,"9,366",331,"3,124",33.35%,89,"3,213",34.3%,Click Here
MORRIS,"8,948",262,"2,631",29.4%,141,"2,772",30.98%,Click Here
DEAF SMITH,"8,756",264,"2,039",23.29%,130,"2,169",24.77%,Click Here
RED RIVER,"8,746",277,"3,039",34.75%,146,"3,185",36.42%,Click Here
NOLAN,"8,494",258,"2,173",25.58%,98,"2,271",26.74%,Click Here
MADISON,"8,471",472,"2,914",34.4%,114,"3,028",35.75%,Click Here
KARNES,"8,449",316,"2,187",25.88%,226,"2,413",28.56%,Click Here
SABINE,"8,446",334,"3,121",36.95%,182,"3,303",39.11%,Click Here
CAMP,"8,424",316,"2,956",35.09%,175,"3,131",37.17%,Click Here
PECOS,"8,328",220,"2,034",24.42%,102,"2,136",25.65%,Click Here
CLAY,"8,291",256,"2,724",32.85%,140,"2,864",34.54%,Click Here
ZAPATA,"8,182",252,"2,218",27.11%,35,"2,253",27.54%,Click Here
WILBARGER,"8,126",283,"2,423",29.82%,186,"2,609",32.11%,Click Here
DUVAL,"8,031",197,"2,212",27.54%,394,"2,606",32.45%,Click Here
LAMB,"7,883",186,"1,483",18.81%,109,"1,592",20.2%,Click Here
REEVES,"7,838",180,"1,554",19.83%,135,"1,689",21.55%,Click Here
MARION,"7,822",228,"2,322",29.69%,169,"2,491",31.85%,Click Here
ZAVALA,"7,810",174,"1,320",16.9%,63,"1,383",17.71%,Click Here
LIVE OAK,"7,774",275,"2,515",32.35%,102,"2,617",33.66%,Click Here
FRANKLIN,"7,599",339,"2,780",36.58%,110,"2,890",38.03%,Click Here
SOMERVELL,"7,420",321,"3,093",41.68%,84,"3,177",42.82%,Click Here
BREWSTER,"7,408",244,"2,302",31.07%,199,"2,501",33.76%,Click Here
WARD,"7,047",186,"1,723",24.45%,77,"1,800",25.54%,Click Here
ARCHER,"7,008",327,"2,768",39.5%,78,"2,846",40.61%,Click Here
RUNNELS,"6,807",69,"1,770",26.0%,94,"1,864",27.38%,Click Here
DAWSON,"6,776",210,"1,846",27.24%,0,"1,846",27.24%,Click Here
DIMMIT,"6,706",140,"1,431",21.34%,163,"1,594",23.77%,Click Here
TERRY,"6,412",226,"1,786",27.85%,86,"1,872",29.2%,Click Here
HAMILTON,"6,260",270,"2,334",37.28%,100,"2,434",38.88%,Click Here
COLEMAN,"6,139",259,"2,676",43.59%,150,"2,826",46.03%,Click Here
SAN AUGUSTINE,"6,038",201,"1,866",30.9%,101,"1,967",32.58%,Click Here
STEPHENS,"5,881",184,"2,186",37.17%,100,"2,286",38.87%,Click Here
JACK,"5,857",208,"2,317",39.56%,132,"2,449",41.81%,Click Here
GOLIAD,"5,833",235,"1,979",33.93%,121,"2,100",36.0%,Click Here
MCCULLOCH,"5,424",193,"1,908",35.18%,93,"2,001",36.89%,Click Here
OCHILTREE,"5,201",138,"1,580",30.38%,102,"1,682",32.34%,Click Here
BROOKS,"4,945",74,"1,062",21.48%,120,"1,182",23.9%,Click Here
REFUGIO,"4,938",193,"1,515",30.68%,62,"1,577",31.94%,Click Here
PARMER,"4,549",102,798,17.54%,51,849,18.66%,Click Here
MITCHELL,"4,526",149,"1,310",28.94%,49,"1,359",30.03%,Click Here
PRESIDIO,"4,429",119,958,21.63%,40,998,22.53%,Click Here
LYNN,"4,385",155,"1,034",23.58%,36,"1,070",24.4%,Click Here
CARSON,"4,297",164,"1,473",34.28%,49,"1,522",35.42%,Click Here
YOAKUM,"4,289",144,"1,322",30.82%,34,"1,356",31.62%,Click Here
LASALLE,"4,210",96,"1,034",24.56%,184,"1,218",28.93%,Click Here
DELTA,"4,112",130,"1,188",28.89%,0,"1,188",28.89%,Click Here
WINKLER,"4,086",139,707,17.3%,8,715,17.5%,Click Here
SWISHER,"3,900",146,"1,014",26.0%,0,"1,014",26.0%,Click Here
CHILDRESS,"3,804",156,"1,164",30.6%,54,"1,218",32.02%,Click Here
SAN SABA,"3,795",156,"1,420",37.42%,78,"1,498",39.47%,Click Here
CASTRO,"3,694",103,757,20.49%,39,796,21.55%,Click Here
FLOYD,"3,660",135,"1,078",29.45%,62,"1,140",31.15%,Click Here
CROSBY,"3,638",91,700,19.24%,67,767,21.08%,Click Here
MILLS,"3,626",140,"1,605",44.26%,68,"1,673",46.14%,Click Here
JIM HOGG,"3,548",66,480,13.53%,140,620,17.47%,Click Here
MARTIN,"3,497",146,"1,025",29.31%,23,"1,048",29.97%,Click Here
HASKELL,"3,442",110,"1,157",33.61%,35,"1,192",34.63%,Click Here
WHEELER,"3,408",132,"1,230",36.09%,86,"1,316",38.62%,Click Here
KIMBLE,"3,318",140,"1,391",41.92%,64,"1,455",43.85%,Click Here
MASON,"3,278",162,"1,555",47.44%,79,"1,634",49.85%,Click Here
BAILEY,"3,172",93,736,23.2%,59,795,25.06%,Click Here
HANSFORD,"3,002",104,948,31.58%,92,"1,040",34.64%,Click Here
DALLAM,"2,873",68,579,20.15%,70,649,22.59%,Click Here
HARTLEY,"2,846",101,"1,065",37.42%,73,"1,138",39.99%,Click Here
FISHER,"2,705",106,865,31.98%,67,932,34.45%,Click Here
REAL,"2,698",123,"1,212",44.92%,50,"1,262",46.78%,Click Here
CRANE,"2,674",114,677,25.32%,0,677,25.32%,Click Here
GARZA,"2,651",100,787,29.69%,41,828,31.23%,Click Here
COKE,"2,460",127,834,33.9%,0,834,33.9%,Click Here
SHACKELFORD,"2,439",81,866,35.51%,79,945,38.75%,Click Here
BAYLOR,"2,430",74,"1,074",44.2%,1,"1,075",44.24%,Click Here
DONLEY,"2,414",113,870,36.04%,58,928,38.44%,Click Here
HARDEMAN,"2,388",59,579,24.25%,33,612,25.63%,Click Here
SUTTON,"2,348",88,818,34.84%,19,837,35.65%,Click Here
HEMPHILL,"2,347",69,908,38.69%,38,946,40.31%,Click Here
CROCKETT,"2,289",83,729,31.85%,35,764,33.38%,Click Here
KNOX,"2,230",38,414,18.57%,42,456,20.45%,Click Here
HUDSPETH,"2,212",23,233,10.53%,19,252,11.39%,Click Here
KINNEY,"2,175",86,830,38.16%,19,849,39.03%,Click Here
UPTON,"2,114",74,748,35.38%,15,763,36.09%,Click Here
COLLINGSWORTH,"1,887",63,544,28.83%,54,598,31.69%,Click Here
HALL,"1,886",45,515,27.31%,33,548,29.06%,Click Here
LIPSCOMB,"1,818",42,384,21.12%,123,507,27.89%,Click Here
REAGAN,"1,803",52,446,24.74%,7,453,25.12%,Click Here
CONCHO,"1,795",53,511,28.47%,56,567,31.59%,Click Here
SCHLEICHER,"1,732",81,614,35.45%,40,654,37.76%,Click Here
CULBERSON,"1,707",46,304,17.81%,2,306,17.93%,Click Here
COCHRAN,"1,676",30,353,21.06%,54,407,24.28%,Click Here
JEFF DAVIS,"1,574",51,684,43.46%,37,721,45.81%,Click Here
MENARD,"1,516",70,553,36.48%,49,602,39.71%,Click Here
EDWARDS,"1,496",69,522,34.89%,23,545,36.43%,Click Here
SHERMAN,"1,448",55,468,32.32%,28,496,34.25%,Click Here
DICKENS,"1,433",55,446,31.12%,0,446,31.12%,Click Here
ARMSTRONG,"1,429",77,635,44.44%,31,666,46.61%,Click Here
OLDHAM,"1,340",35,423,31.57%,28,451,33.66%,Click Here
IRION,"1,230",67,477,38.78%,14,491,39.92%,Click Here
THROCKMORTON,"1,217",50,403,33.11%,17,420,34.51%,Click Here
BRISCOE,"1,037",39,304,29.32%,44,348,33.56%,Click Here
COTTLE,994,36,390,39.24%,18,408,41.05%,Click Here
STONEWALL,955,40,341,35.71%,14,355,37.17%,Click Here
STERLING,892,42,330,37.0%,25,355,39.8%,Click Here
MOTLEY,849,37,292,34.39%,41,333,39.22%,Click Here
GLASSCOCK,840,35,324,38.57%,28,352,41.9%,Click Here
FOARD,806,44,307,38.09%,4,311,38.59%,Click Here
ROBERTS,722,31,270,37.4%,19,289,40.03%,Click Here
MCMULLEN,644,31,258,40.06%,0,258,40.06%,Click Here
TERRELL,626,17,219,34.98%,18,237,37.86%,Click Here
KENT,599,20,178,29.72%,11,189,31.55%,Click Here
BORDEN,487,31,225,46.2%,0,225,46.2%,Click Here
KENEDY,270,10,73,27.04%,4,77,28.52%,Click Here
KING,165,15,64,38.79%,1,65,39.39%,Click Here
LOVING,128,10,47,36.72%,1,48,37.5%,Click Here
TOTAL,"18,623,931","734,932","5,946,666",31.93%,"281,376","6,228,042",33.44%,
